time,open,high,low,close,tick_volume,spread
1556496000,6380.6,6382.6,6347.6,6360.9,4528,9
1556582400,6349.0,6349.0,6316.0,6345.0,4626,6
1556668800,6353.8,6379.8,6342.7,6342.8,5192,16
1556755200,6342.0,6365.9,6323.0,6348.9,6474,10
1556841600,6339.6,6373.6,6326.6,6370.6,4656,6
1557100800,6281.1,6318.1,6243.1,6295.1,7866,5
1557187200,6309.4,6339.3,6231.2,6254.2,11055,10
1557273600,6241.5,6276.5,6236.5,6271.9,9668,15
1557360000,6254.9,6299.9,6242.9,6281.0,12244,16
1557446400,6278.2,6350.2,6278.2,6342.3,23821,9
1557705600,6288.7,6306.7,6246.7,6250.9,12330,5
1557792000,6228.5,6267.5,6199.5,6251.6,12311,9
1557878400,6254.9,6307.9,6236.8,6301.8,10126,15
1557964800,6289.8,6397.8,6269.8,6377.8,9350,14
1558051200,6389.1,6400.1,6335.0,6358.1,10076,11
1558310400,6445.1,6480.6,6418.0,6437.1,11371,8
1558396800,6438.1,6501.7,6434.1,6496.7,8373,5
1558483200,6488.2,6512.8,6472.8,6491.8,6685,16
1558569600,6490.3,6501.9,6437.8,6452.9,10451,11
1558656000,6446.7,6479.3,6435.3,6450.4,8190,4
1558915200,6452.3,6470.3,6444.8,6454.9,4069,12
1559001600,6450.6,6491.2,6428.2,6433.2,8843,6
1559088000,6424.3,6440.8,6380.8,6390.8,10264,9
1559174400,6386.9,6406.5,6372.5,6403.5,8132,7
1559260800,6398.2,6402.2,6348.2,6370.9,9779,5
1559520000,6345.2,6360.8,6296.8,6322.8,10525,12
1559606400,6319.4,6382.9,6310.0,6380.9,11035,6
1559692800,6378.0,6401.0,6346.0,6373.5,13860,17
1559779200,6349.2,6422.8,6340.2,6406.9,12315,18
1559865600,6398.3,6482.9,6398.3,6474.9,11283,17
1560211200,6486.6,6583.5,6481.6,6558.5,11506,17
1560297600,6551.2,6590.9,6536.2,6545.9,10384,7
1560384000,6534.3,6572.1,6532.3,6553.0,9276,9
1560470400,6547.0,6561.6,6528.0,6559.0,6475,8
1560729600,6564.0,6574.6,6525.0,6541.6,6589,24
1560816000,6537.3,6620.9,6526.9,6610.9,9939,6
1560902400,6600.5,6664.3,6598.5,6652.8,7968,5
1560988800,6654.9,6705.4,6640.4,6684.4,8942,5
1561075200,6681.3,6692.9,6638.8,6638.8,12333,6
1561334400,6642.1,6671.1,6616.6,6651.1,7751,25
1561420800,6646.3,6681.9,6628.9,6629.0,11801,24
1561507200,6629.1,6670.1,6621.1,6628.0,7709,20
1561593600,6612.3,6666.6,6602.9,6650.8,8027,11
1561680000,6650.0,6660.0,6612.3,6639.6,6817,18
1561939200,6699.9,6699.9,6639.4,6668.4,7699,9
1562025600,6663.0,6691.8,6638.0,6656.8,8311,5
1562112000,6655.5,6715.0,6644.0,6701.0,4136,10
1562198400,6701.5,6737.0,6693.5,6723.0,2703,14
1562284800,6717.5,6775.1,6716.0,6739.0,7267,14
1562544000,6745.1,6749.1,6667.8,6681.6,6215,17
1562630400,6675.6,6700.8,6644.3,6696.8,6837,17
1562716800,6693.6,6724.4,6685.6,6703.2,7065,6
1562803200,6699.8,6734.5,6686.4,6695.8,9410,17
1562889600,6689.3,6720.9,6667.5,6671.5,5224,17
1563148800,6670.1,6685.7,6641.7,6656.8,4588,17
1563235200,6656.2,6666.8,6636.5,6636.5,4340,10
1563321600,6630.9,6694.1,6626.5,6659.2,6053,17
