time,open,high,low,close,tick_volume,spread
1556496000,6380.6,6382.6,6364.6,6366.6,571,16
1556510400,6366.6,6375.6,6347.6,6362.6,1208,14
1556524800,6361.6,6375.6,6355.6,6369.6,886,15
1556539200,6369.6,6370.6,6356.6,6361.6,557,9
1556553600,6361.6,6372.9,6360.6,6367.9,856,16
1556568000,6367.9,6368.9,6358.9,6360.9,450,16
1556582400,6349.0,6349.0,6323.0,6325.0,487,12
1556596800,6325.0,6333.0,6316.0,6326.0,1078,8
1556611200,6326.0,6334.1,6320.5,6332.0,750,6
1556625600,6332.0,6344.0,6328.0,6337.0,489,12
1556640000,6337.0,6343.0,6325.0,6335.0,1113,16
1556654400,6335.0,6345.0,6329.0,6345.0,709,16
1556668800,6353.8,6371.8,6345.8,6365.8,416,18
1556683200,6364.8,6379.8,6359.8,6376.8,1161,17
1556697600,6376.8,6378.8,6359.2,6369.7,488,16
1556712000,6369.7,6376.7,6364.7,6370.7,298,16
1556726400,6370.7,6374.7,6361.7,6366.7,987,16
1556740800,6368.7,6375.7,6342.7,6342.8,1842,16
1556755200,6342.0,6354.0,6323.0,6346.0,666,10
1556769600,6346.0,6349.0,6327.0,6332.0,1148,17
1556784000,6332.0,6358.9,6327.0,6355.9,957,16
1556798400,6355.9,6358.9,6344.9,6352.9,769,12
1556812800,6352.9,6365.9,6335.9,6342.9,1802,16
1556827200,6342.9,6352.9,6338.9,6348.9,1132,16
1556841600,6339.6,6354.6,6326.6,6347.6,454,6
1556856000,6347.6,6355.6,6330.5,6346.6,1025,15
1556870400,6346.6,6350.6,6332.6,6349.6,660,16
1556884800,6349.6,6351.6,6343.6,6349.6,702,16
1556899200,6349.6,6362.6,6346.5,6358.6,1263,16
1556913600,6358.6,6373.6,6357.6,6370.6,552,16
1557100800,6281.1,6309.1,6260.0,6261.1,887,16
1557115200,6261.1,6288.1,6243.1,6287.1,2059,6
1557129600,6287.1,6290.1,6259.5,6264.1,1530,5
1557144000,6264.1,6277.1,6260.1,6275.1,758,16
1557158400,6275.1,6302.1,6268.0,6294.1,1861,15
1557172800,6294.1,6318.1,6292.1,6295.1,771,10
1557187200,6309.4,6323.2,6299.4,6322.3,557,15
1557201600,6322.3,6339.3,6285.2,6298.3,1619,16
