time,open,high,low,close,tick_volume,spread
1063152000,140.28,140.28,137.44,138.16,132,0
1063238400,138.21,139.37,138.0,138.0,128,0
1063324800,138.45,138.98,137.5,138.98,79,0
1063584000,139.18,139.18,136.5,136.96,89,0
1063670400,138.3,139.75,137.99,139.75,97,0
1063756800,139.99,140.12,139.06,139.15,123,0
1063843200,139.49,141.0,139.0,140.75,133,0
1063929600,140.95,140.95,139.79,140.1,81,0
1064188800,139.47,139.47,137.21,137.81,151,0
1064275200,137.96,138.25,137.78,138.15,76,0
1064361600,139.92,140.19,138.3,138.4,80,0
1064448000,138.4,138.4,136.51,136.51,95,0
1064534400,136.35,136.35,135.4,135.4,105,0
1064793600,135.62,136.48,135.5,136.35,90,0
1064880000,137.21,137.21,135.5,135.83,91,0
1064966400,137.81,139.54,137.71,139.5,86,0
1065052800,140.81,141.75,140.5,141.5,115,0
1065139200,143.5,143.53,142.66,142.9,199,0
1065398400,143.62,143.76,143.03,143.45,110,0
1065484800,143.9,143.9,143.0,143.3,82,0
1065571200,144.56,144.65,144.19,144.37,92,0
1065657600,146.68,147.5,146.5,146.8,118,0
1065744000,147.58,148.64,147.58,148.6,138,0
1066003200,149.5,150.99,149.5,150.85,178,0
1066089600,150.42,150.42,147.9,148.15,176,0
1066176000,149.75,150.3,149.4,149.76,123,0
1066262400,149.76,150.1,149.5,149.72,80,0
1066348800,149.78,149.78,148.5,148.81,82,0
1066608000,149.92,150.09,149.45,149.64,85,0
1066694400,149.99,150.39,149.8,150.39,118,0
1066780800,150.1,150.1,147.57,148.18,126,0
1066867200,146.0,146.0,145.02,146.0,153,0
1066953600,145.0,145.17,144.51,145.07,88,0
1067212800,146.2,147.0,146.2,146.99,101,0
1067299200,148.8,149.09,148.4,148.91,131,0
1067385600,149.4,150.2,149.1,150.15,112,0
1067472000,150.82,150.95,149.71,149.9,135,0
1067558400,149.73,149.82,148.22,148.41,86,0
1067817600,151.0,152.0,150.8,152.0,172,0
1067904000,152.97,153.0,152.14,152.37,220,0
1067990400,152.73,152.97,152.06,152.57,128,0
1068076800,151.95,151.95,150.71,151.72,118,0
1068163200,151.62,152.19,151.45,151.64,111,0
1068422400,151.31,151.31,149.45,149.55,124,0
1068508800,148.45,148.45,147.1,147.63,114,0
1068595200,148.58,150.44,148.37,150.26,140,0
1068681600,151.33,151.43,150.13,151.42,114,0
1068768000,151.08,151.58,150.13,150.65,107,0
1069027200,149.5,149.5,146.82,147.71,154,0
1069113600,148.65,149.05,148.0,148.0,100,0
1069200000,147.5,147.5,146.56,147.04,83,0
1069286400,145.75,145.95,145.0,145.14,115,0
1069372800,145.64,146.4,145.64,146.4,70,0
1069632000,146.4,148.05,146.15,148.03,206,0
1069718400,148.44,148.9,148.0,148.5,150,0
1069804800,149.81,149.86,149.05,149.86,122,0
1069977600,149.99,151.63,149.8,151.2,58,0
1070236800,153.4,155.53,153.4,155.53,228,0
1070323200,155.53,155.53,154.65,154.84,139,0
1070409600,155.62,155.75,154.49,154.49,166,0
1070496000,154.3,154.3,152.8,153.24,151,0
1070582400,153.03,153.37,152.18,152.9,131,0
1070841600,152.75,153.4,152.66,153.1,105,0
1070928000,154.1,154.35,152.71,152.86,116,0
1071014400,153.4,153.5,151.7,152.0,99,0
1071100800,153.35,154.86,153.2,154.77,142,0
1071187200,155.48,155.5,155.01,155.48,225,0
1071446400,156.78,157.02,155.2,155.56,176,0
1071532800,155.75,155.75,154.22,154.95,140,0
1071619200,153.96,153.96,152.78,153.15,143,0
1071705600,153.78,155.62,153.78,155.62,128,0
1071792000,155.25,156.21,155.25,156.21,123,0
1072051200,155.9,157.5,155.55,157.26,289,0
1072137600,157.5,157.93,157.17,157.93,177,0
1072224000,158.42,158.7,158.1,158.48,80,0
1072396800,159.0,159.0,158.71,158.84,65,0
1072656000,160.0,161.24,159.8,161.24,186,0
1072742400,162.19,162.85,161.96,162.28,243,0
1072828800,162.8,164.1,162.8,164.04,204,0
1073001600,165.1,168.39,165.1,167.68,306,0
1073260800,172.2,173.38,171.0,173.37,387,0
1073347200,173.46,173.46,171.25,171.5,708,0
1073433600,170.5,171.9,170.5,171.9,260,0
1073520000,172.31,172.9,171.08,172.55,257,0
1073606400,172.69,173.62,172.15,172.49,271,0
1073865600,172.65,172.85,171.43,172.09,248,0
1073952000,172.45,172.6,170.55,170.93,213,0
1074038400,170.51,171.66,170.45,171.38,216,0
1074124800,170.7,170.71,167.65,167.88,308,0
1074211200,167.75,168.63,167.5,168.6,204,0
1074556800,172.0,173.65,171.67,173.45,279,0
1074643200,173.47,174.35,172.5,173.75,251,0
1074729600,173.15,173.74,171.88,173.29,256,0
1074816000,173.51,173.6,172.6,173.0,164,0
1075075200,173.47,174.15,172.72,174.15,200,0
1075161600,174.5,175.03,173.1,173.45,309,0
1075248000,174.2,174.46,170.6,170.6,204,0
1075334400,170.14,170.49,165.31,167.95,394,0
1075420800,167.0,167.93,166.65,167.7,183,0
1075680000,168.12,168.16,167.2,167.94,174,0
1075766400,168.05,168.05,166.74,167.0,198,0
1075852800,166.1,166.35,165.5,165.72,198,0
1075939200,165.01,165.76,164.75,165.48,208,0
1076025600,167.17,169.66,167.02,169.22,255,0
1076284800,171.0,172.49,170.0,171.66,162,0
1076371200,171.72,171.88,171.11,171.51,150,0
1076457600,172.04,174.39,171.54,174.2,259,0
1076544000,174.97,174.97,173.81,174.08,207,0
1076630400,176.05,176.15,174.09,174.09,194,0
1076976000,176.6,177.7,175.82,177.7,199,0
1077062400,177.91,177.91,175.11,175.28,198,0
1077148800,175.31,175.77,174.09,174.1,207,0
1077235200,172.0,172.2,170.36,171.8,239,0
1077494400,172.8,173.09,170.08,170.59,239,0
1077580800,169.92,169.92,169.0,169.4,187,0
1077667200,169.98,171.28,169.74,171.0,163,0
1077753600,172.13,172.13,171.38,172.0,182,0
1077840000,174.07,174.91,173.6,174.44,195,0
1078099200,175.84,178.69,175.73,178.4,244,0
1078185600,178.72,178.72,177.08,177.1,163,0
1078272000,175.99,176.13,174.8,176.0,183,0
1078358400,176.5,177.25,176.29,177.2,143,0
1078444800,177.2,178.12,176.5,177.85,230,0
1078704000,178.6,178.68,176.21,176.4,168,0
1078790400,176.7,176.7,174.01,174.35,161,0
1078876800,175.2,175.2,170.65,171.0,185,0
1078963200,168.8,169.23,167.38,167.38,294,0
1079049600,167.5,169.1,167.5,168.79,196,0
1079308800,167.4,167.75,165.55,165.55,204,0
1079395200,166.4,167.65,166.3,167.6,200,0
1079481600,169.5,170.18,169.12,169.9,226,0
1079568000,170.38,170.93,169.51,170.9,187,0
1079654400,171.57,171.57,168.65,168.65,165,0
1079913600,169.81,169.81,164.99,165.95,242,0
1080000000,166.99,167.79,166.99,167.62,164,0
1080086400,168.27,168.54,167.55,167.75,128,0
1080172800,168.18,169.45,168.0,169.39,158,0
1080259200,169.4,169.84,169.05,169.08,150,0
1080518400,171.5,171.7,171.18,171.42,131,0
1080604800,172.47,173.28,172.25,173.1,125,0
1080691200,174.9,175.0,174.52,175.0,153,0
1080777600,175.89,177.04,175.87,177.0,148,0
1080864000,178.95,179.0,178.33,178.58,205,0
1081123200,180.18,180.18,179.6,179.95,206,0
1081209600,180.02,181.0,179.95,180.95,186,0
1081296000,181.9,181.96,179.5,180.39,234,0
1081382400,182.03,182.1,179.99,180.2,165,0
1081728000,181.8,182.4,181.44,181.57,196,0
1081814400,181.95,181.95,179.34,179.72,234,0
1081900800,178.38,178.38,176.93,177.24,235,0
