time,open,high,low,close,tick_volume,spread
1556496000,5572.2,5596.7,5548.6,5584.7,9957,5
1556582400,5570.0,5609.4,5554.7,5600.9,7673,5
1556755200,5570.7,5574.8,5522.8,5534.8,12847,6
1556841600,5538.4,5567.5,5535.0,5567.0,10251,5
1557100800,5450.5,5505.6,5420.9,5455.1,14728,4
1557187200,5480.3,5491.4,5364.8,5387.9,30049,4
1557273600,5391.8,5428.8,5377.8,5423.2,25475,4
1557360000,5363.7,5363.7,5305.8,5354.1,30573,5
1557446400,5349.6,5396.6,5310.1,5392.6,37387,5
1557705600,5334.4,5334.9,5244.9,5252.9,35528,5
1557792000,5291.2,5356.7,5287.2,5345.3,16084,4
1557878400,5348.9,5379.4,5296.4,5374.5,23160,4
1557964800,5364.0,5453.1,5345.2,5439.4,20247,4
1558051200,5425.7,5452.2,5402.2,5417.9,23006,5
1558310400,5425.7,5440.2,5332.4,5365.5,24113,5
1558396800,5357.1,5393.2,5347.2,5381.0,14623,4
1558483200,5386.1,5399.3,5343.3,5364.4,14395,4
1558569600,5366.4,5367.4,5270.6,5281.7,21412,5
1558656000,5275.7,5337.1,5274.2,5330.7,21055,5
1558915200,5320.7,5364.2,5312.7,5335.8,9775,4
1559001600,5336.8,5358.2,5279.8,5287.3,32795,5
1559088000,5267.2,5274.2,5202.5,5224.9,35355,5
1559174400,5223.5,5259.2,5220.5,5257.2,22551,5
1559260800,5254.7,5259.8,5159.6,5197.7,33928,4
1559520000,5177.4,5240.2,5150.3,5228.4,29161,5
1559606400,5226.8,5278.2,5188.1,5277.4,21805,4
1559692800,5280.2,5305.0,5262.9,5293.7,32321,6
1559779200,5286.7,5333.1,5258.6,5270.7,18940,5
1559865600,5268.7,5388.6,5267.2,5366.7,16519,5
1560124800,5393.1,5396.1,5367.4,5372.6,11257,6
1560211200,5363.3,5430.2,5356.8,5399.8,21744,6
1560297600,5396.8,5403.3,5357.7,5365.3,22482,4
1560384000,5366.3,5391.7,5345.3,5371.3,23389,8
1560470400,5368.9,5379.2,5340.8,5374.4,23279,6
1560729600,5379.6,5409.0,5362.1,5394.1,14500,5
1560816000,5400.0,5515.9,5373.9,5507.0,23894,4
1560902400,5508.5,5531.4,5495.5,5522.0,18645,4
1560988800,5519.4,5564.3,5517.4,5540.9,22227,6
1561075200,5537.4,5582.8,5491.0,5491.0,16852,4
1561334400,5493.3,5547.8,5492.3,5508.8,18177,5
1561420800,5507.7,5524.0,5491.2,5493.7,17401,8
1561507200,5492.6,5531.5,5482.6,5486.1,18126,5
1561593600,5486.6,5516.0,5465.0,5495.1,21234,4
1561680000,5497.6,5548.6,5484.4,5546.1,13497,6
