time,open,high,low,close,tick_volume,spread
1556524800,5572.2,5596.7,5565.7,5573.2,2544,9
1556539200,5573.2,5575.6,5548.6,5574.6,3177,5
1556553600,5574.6,5588.1,5571.7,5587.1,3285,5
1556568000,5587.6,5591.1,5580.7,5584.7,951,9
1556611200,5570.0,5574.1,5555.7,5558.2,1460,5
1556625600,5559.7,5575.7,5554.7,5566.2,1776,5
1556640000,5566.2,5592.7,5556.2,5588.7,2832,5
1556654400,5588.7,5609.4,5587.2,5600.9,1605,5
1556784000,5570.7,5572.8,5543.7,5570.8,2579,6
1556798400,5570.8,5574.8,5554.8,5560.8,3468,6
1556812800,5561.3,5561.3,5522.8,5532.8,4540,6
1556827200,5532.8,5537.8,5527.8,5534.8,2260,9
1556870400,5538.4,5560.0,5535.0,5556.0,1831,7
1556884800,5555.5,5564.0,5544.5,5560.0,3433,5
1556899200,5560.0,5561.5,5541.5,5559.4,4060,7
1556913600,5559.4,5567.5,5556.4,5567.0,927,7
1557129600,5450.5,5465.5,5420.9,5428.1,4167,4
1557144000,5428.1,5448.5,5425.5,5448.0,3779,4
1557158400,5448.0,5493.5,5438.1,5480.5,5255,5
1557172800,5480.5,5505.6,5454.6,5455.1,1527,5
1557216000,5480.3,5491.4,5461.4,5462.0,4988,6
1557230400,5461.9,5463.4,5435.8,5441.0,5902,6
1557244800,5440.9,5442.4,5381.9,5387.4,13316,4
1557259200,5387.4,5389.9,5364.8,5387.9,5843,6
1557302400,5391.8,5414.8,5388.8,5406.5,3895,7
1557316800,5406.3,5411.3,5377.8,5400.0,8124,5
1557331200,5400.3,5427.0,5392.0,5426.3,11146,4
1557345600,5426.3,5428.8,5410.8,5423.2,2310,10
1557388800,5363.7,5363.7,5331.2,5346.8,6977,5
1557403200,5346.7,5360.1,5329.1,5330.1,5920,6
1557417600,5329.7,5357.1,5305.8,5350.1,13632,5
1557432000,5350.1,5362.1,5342.6,5354.1,4044,6
1557475200,5349.6,5371.1,5345.1,5362.8,6693,6
1557489600,5362.8,5367.6,5323.8,5335.1,9260,5
1557504000,5335.1,5359.6,5310.1,5356.6,16049,6
1557518400,5356.6,5396.6,5354.1,5392.6,5385,8
1557734400,5334.4,5334.9,5283.4,5297.1,5255,5
1557748800,5296.9,5303.9,5259.1,5259.9,8370,6
1557763200,5259.9,5274.4,5244.9,5249.4,16131,6
1557777600,5248.9,5281.8,5245.9,5252.9,5772,10
1557820800,5291.2,5314.3,5287.2,5292.7,3945,7
1557835200,5292.7,5329.7,5291.7,5319.2,5106,5
1557849600,5319.2,5351.7,5310.7,5348.2,5029,4
1557864000,5348.2,5356.7,5335.3,5345.3,2004,10
1557907200,5348.9,5349.4,5303.9,5316.4,2917,5
1557921600,5316.4,5331.4,5296.6,5306.9,5182,5
1557936000,5306.9,5375.5,5296.4,5365.9,13149,4
1557950400,5365.9,5379.4,5364.9,5374.5,1912,10
1557993600,5364.0,5366.0,5345.2,5362.1,6628,5
1558008000,5362.1,5402.1,5358.0,5391.6,6333,4
1558022400,5391.6,5453.1,5384.1,5444.6,4898,4
1558036800,5444.6,5448.1,5432.3,5439.4,2388,6
1558080000,5425.7,5436.3,5412.7,5416.7,5121,5
1558094400,5416.3,5452.2,5402.2,5409.8,8218,5
1558108800,5410.8,5446.3,5404.3,5433.8,6662,6
1558123200,5433.3,5439.3,5412.8,5417.9,3005,9
1558339200,5425.7,5440.2,5392.2,5393.2,4744,6
1558353600,5393.2,5402.7,5341.9,5346.4,9805,5
1558368000,5346.4,5372.4,5332.4,5357.4,7419,5
1558382400,5357.4,5366.0,5346.4,5365.5,2145,10
1558396800,5357.1,5360.2,5353.2,5357.7,445,24
1558411200,5358.2,5370.7,5355.2,5370.0,1056,36
1558425600,5370.0,5378.2,5347.2,5371.7,4038,4
1558440000,5371.7,5393.2,5364.7,5389.4,4107,5
1558454400,5389.4,5390.9,5367.9,5379.4,4048,4
1558468800,5379.4,5387.9,5378.9,5381.0,929,10
1558483200,5386.1,5392.6,5378.1,5379.1,722,59
1558497600,5378.6,5392.1,5378.6,5385.1,927,59
1558512000,5385.1,5388.8,5365.8,5370.8,3173,4
1558526400,5370.8,5399.3,5343.3,5356.3,3453,4
1558540800,5356.3,5384.3,5353.3,5372.8,4593,4
1558555200,5372.8,5378.3,5361.9,5364.4,1527,10
1558569600,5366.4,5367.4,5350.9,5352.9,556,59
1558584000,5352.4,5352.9,5341.4,5349.9,1236,59
1558598400,5349.4,5351.4,5286.3,5293.8,4954,5
1558612800,5293.8,5305.4,5276.8,5295.4,5374,10
1558627200,5295.4,5299.0,5271.5,5275.6,6359,5
1558641600,5275.6,5289.1,5270.6,5281.7,2933,10
1558656000,5275.7,5290.7,5274.2,5287.2,934,57
1558670400,5287.7,5299.2,5287.2,5296.7,1010,59
1558684800,5297.2,5337.1,5293.1,5326.8,4378,6
1558699200,5326.3,5334.7,5318.6,5328.3,6127,5
1558713600,5328.3,5333.2,5307.7,5327.6,7355,6
1558728000,5327.6,5333.7,5321.6,5330.7,1251,10
1558915200,5320.7,5329.2,5312.7,5326.2,1045,12
1558929600,5326.2,5326.2,5316.7,5319.2,1470,59
1558944000,5320.2,5364.2,5319.2,5332.7,3609,4
1558958400,5332.7,5338.7,5321.7,5337.7,1668,4
1558972800,5337.7,5340.7,5323.7,5337.2,1796,4
1558987200,5337.2,5339.2,5335.7,5335.8,187,10
1559001600,5336.8,5345.3,5335.8,5343.8,707,54
1559016000,5342.8,5346.3,5337.8,5343.8,711,59
1559030400,5343.8,5358.2,5299.7,5300.8,6944,7
1559044800,5300.2,5345.7,5300.2,5327.6,8788,5
1559059200,5327.3,5342.7,5300.2,5315.6,11485,5
1559073600,5315.6,5318.1,5279.8,5287.3,4160,5
1559088000,5267.2,5274.2,5250.7,5254.7,1246,59
1559102400,5254.2,5261.2,5251.2,5255.7,1140,25
1559116800,5255.2,5269.6,5212.9,5219.8,9285,6
1559131200,5219.9,5230.0,5202.9,5206.9,6925,9
1559145600,5206.4,5224.4,5202.5,5215.7,11852,5
1559160000,5216.2,5235.4,5213.2,5224.9,4907,24
1559174400,5223.5,5234.0,5220.5,5221.0,836,42
1559188800,5221.0,5234.5,5221.0,5233.5,975,37
1559203200,5233.5,5246.5,5231.0,5245.5,3785,10
1559217600,5245.5,5253.0,5228.0,5238.0,5407,6
1559232000,5238.0,5257.6,5230.4,5250.8,8211,5
1559246400,5250.5,5259.2,5235.3,5257.2,3337,21
1559260800,5254.7,5259.8,5204.2,5208.2,2112,8
1559275200,5208.7,5221.7,5205.2,5215.2,1679,59
1559289600,5215.2,5215.7,5178.1,5178.5,7631,4
1559304000,5178.5,5184.6,5159.6,5178.5,8966,4
1559318400,5178.6,5212.6,5167.0,5197.6,10478,4
1559332800,5197.6,5205.6,5192.0,5197.7,3062,6
1559520000,5177.4,5177.4,5156.9,5175.4,1772,6
1559534400,5175.9,5179.9,5164.4,5164.4,1106,59
1559548800,5164.9,5178.8,5150.3,5175.8,6047,5
1559563200,5175.8,5215.3,5175.3,5212.8,4114,6
1559577600,5212.8,5240.2,5197.7,5212.8,8986,7
1559592000,5212.8,5231.3,5197.8,5228.4,7136,5
1559606400,5226.8,5227.8,5207.8,5212.3,1137,59
1559620800,5211.8,5213.3,5196.3,5209.8,936,59
1559635200,5210.3,5247.6,5188.1,5246.6,6436,7
1559649600,5246.6,5270.7,5241.6,5268.2,5340,4
1559664000,5268.7,5278.2,5250.7,5268.2,6036,6
1559678400,5267.7,5277.9,5261.2,5277.4,1920,9
1559692800,5280.2,5291.7,5274.2,5281.7,972,59
1559707200,5282.2,5284.7,5276.7,5278.2,693,50
1559721600,5278.2,5305.0,5262.9,5284.6,6482,6
1559736000,5284.6,5304.2,5272.5,5278.7,9104,6
