time,open,high,low,close,tick_volume,spread
735177600,169.78,171.31,169.44,170.72,2801,150
735264000,170.76,172.24,170.09,170.79,4271,150
735350400,170.69,171.79,170.05,170.54,3331,150
735436800,169.84,171.87,168.79,170.37,5631,150
735523200,172.16,174.67,171.64,174.36,3861,150
735782400,174.63,176.25,174.63,175.49,2381,150
735868800,174.77,176.26,173.79,175.57,4141,150
735955200,176.17,176.66,174.94,176.6,3011,150
736041600,176.01,176.57,174.94,175.47,2721,150
736128000,174.58,175.07,173.85,175.02,2001,150
736387200,174.68,174.88,174.68,174.88,201,150
736473600,173.34,174.22,172.41,172.61,2891,150
736560000,172.91,173.31,172.11,172.58,2071,150
736646400,172.71,175.57,172.42,173.25,5761,150
736732800,173.96,175.09,172.96,173.63,3931,150
736992000,172.6,172.75,171.08,171.68,2421,150
737078400,170.63,172.35,170.63,171.47,2601,150
737164800,172.18,172.61,170.87,171.15,2451,150
737251200,171.27,171.43,169.84,170.04,1951,150
737337600,170.17,171.24,169.85,170.56,2391,150
737596800,170.92,171.51,170.4,170.77,2071,150
737683200,170.52,171.2,170.12,170.87,1811,150
737769600,171.48,172.21,169.84,170.71,3971,150
737856000,170.27,172.23,170.24,172.22,2031,150
737942400,172.04,172.26,169.55,170.12,3501,150
738201600,170.02,170.25,168.84,169.57,2371,150
738288000,170.17,170.39,168.84,169.05,1981,150
738374400,167.89,168.61,167.55,168.16,1851,150
738460800,168.19,168.63,166.84,167.29,2681,150
738547200,166.85,168.24,166.34,167.34,3311,150
738892800,166.79,167.5,165.77,166.07,2741,150
738979200,165.82,166.7,164.95,165.8,3481,150
739065600,166.08,166.34,164.99,165.16,1781,150
739152000,165.84,165.98,162.58,162.74,3701,150
739411200,162.64,163.75,162.49,162.84,2321,150
739497600,161.72,162.2,160.93,161.8,2461,150
739584000,161.55,162.23,160.6,161.17,2881,150
739670400,160.35,162.18,159.8,161.96,3151,150
739756800,162.4,163.96,161.43,162.11,4771,150
740016000,160.5,161.32,160.22,160.66,2041,150
740102400,160.65,161.94,160.35,160.51,3041,150
740188800,161.17,161.55,159.31,160.22,3531,150
740275200,160.9,162.4,160.11,162.13,3351,150
740361600,162.26,164.26,161.78,164.26,2961,150
740620800,164.46,166.07,163.66,165.25,4031,150
740707200,165.19,165.76,163.41,163.89,3401,150
740793600,162.29,163.11,160.24,160.5,3951,150
740880000,159.88,160.78,159.09,160.55,2711,150
740966400,158.39,158.58,156.57,156.76,2391,150
741225600,156.33,158.95,156.08,158.56,3511,150
741312000,159.0,161.79,159.0,161.01,3571,150
741398400,160.65,161.19,158.76,159.47,3681,150
741484800,161.75,162.74,159.86,162.74,4771,150
741571200,163.26,164.21,162.33,163.51,3511,150
741830400,164.38,165.04,163.86,164.61,2131,150
741916800,162.99,163.85,162.33,163.4,2631,150
742003200,163.34,163.81,160.47,160.96,4301,150
742089600,161.45,163.24,160.92,162.87,3221,150
742176000,161.79,162.83,160.51,162.6,3831,150
742435200,162.82,163.27,161.44,162.21,3051,150
742521600,160.73,162.45,160.46,161.96,2751,150
742608000,161.4,162.47,160.87,161.23,3031,150
742694400,161.24,161.54,160.22,161.05,2451,150
742780800,160.51,161.01,159.24,159.7,2731,150
743040000,160.28,162.92,159.92,162.55,3731,150
743126400,162.45,164.29,162.26,163.52,2991,150
743212800,163.43,165.13,163.14,164.07,3341,150
743299200,163.52,164.0,160.45,162.4,5981,150
743385600,159.47,161.28,159.13,160.16,3611,150
743644800,160.08,160.57,159.35,159.94,2301,150
