time,open,high,low,close,tick_volume
1529971200,12.6,12.62,12.58,12.59,19
1530057600,12.55,12.57,12.52,12.53,79
1530144000,12.53,12.53,12.47,12.49,51
1530230400,12.5,12.56,12.5,12.52,61
1530489600,12.48,12.48,12.4,12.42,38
1530576000,12.54,12.58,12.54,12.54,28
1530748800,12.56,12.59,12.55,12.58,156
1530835200,12.57,12.57,12.55,12.56,113
1531094400,12.63,12.63,12.59,12.6,348
1531180800,12.56,12.57,12.54,12.55,206
1531267200,12.51,12.51,12.43,12.43,347
1531353600,12.46,12.49,12.46,12.48,57
1531440000,12.42,12.43,12.4,12.42,50
1531699200,12.41,12.42,12.39,12.42,114
1531785600,12.32,12.33,12.26,12.29,215
1531872000,12.26,12.3,12.24,12.28,139
1531958400,12.16,12.29,12.16,12.23,556
1532044800,12.3,12.31,12.28,12.31,274
1532304000,12.27,12.28,12.23,12.25,79
1532390400,12.28,12.29,12.24,12.26,49
1532476800,12.32,12.33,12.29,12.33,22
1532563200,12.28,12.3,12.23,12.23,43
1532649600,12.24,12.26,12.22,12.22,35
1532908800,12.23,12.25,12.22,12.22,37
1532995200,12.18,12.28,12.18,12.25,18
1533081600,12.2,12.22,12.17,12.17,288
1533168000,12.17,12.17,12.09,12.09,100
1533254400,12.15,12.2,12.13,12.14,131
1533513600,12.1,12.11,12.07,12.07,45
1533600000,12.12,12.13,12.08,12.1,53
1533686400,12.1,12.13,12.08,12.13,46
1533772800,12.14,12.16,12.12,12.12,43
1533859200,12.15,12.16,12.11,12.11,50
1534118400,12.02,12.02,11.92,11.94,105
1534204800,11.97,11.98,11.92,11.93,64
1534291200,11.85,11.85,11.74,11.74,102
1534377600,11.77,11.82,11.74,11.74,639
1534464000,11.8,11.83,11.77,11.83,29
1534723200,11.86,11.91,11.85,11.9,61
1534809600,11.89,11.94,11.88,11.93,39
1534896000,11.98,11.98,11.94,11.96,87
1534982400,11.9,11.92,11.84,11.86,76
1535068800,11.96,12.08,11.96,12.06,45
1535328000,12.06,12.12,12.06,12.09,46
1535414400,12.12,12.12,12.0,12.01,39
