time,open,high,low,close,tick_volume
1100736000,44.43,44.49,44.07,44.38,3190
1100822400,44.49,44.92,44.47,44.79,4592
1101081600,44.75,44.97,44.74,44.97,3873
1101168000,44.88,44.92,44.72,44.76,2279
1101254400,44.93,45.05,44.79,45.01,2457
1101427200,45.25,45.6,45.06,45.3,2055
1101686400,45.1,45.5,45.08,45.4,2662
1101772800,45.37,45.41,44.82,45.12,2475
1101859200,45.28,45.59,45.26,45.38,2169
1101945600,45.55,45.57,44.68,44.95,3141
1102032000,45.04,46.0,44.8,45.58,2410
1102291200,45.39,45.47,45.11,45.23,1798
1102377600,45.3,45.32,45.07,45.1,1715
1102464000,43.8,44.02,43.36,43.97,3962
1102550400,43.75,43.9,43.2,43.78,2026
1102636800,43.37,43.6,43.31,43.48,1640
1102896000,43.61,44.01,43.51,43.9,1219
1102982400,43.76,43.8,43.51,43.54,1194
1103068800,44.1,44.17,43.92,43.99,1414
1103155200,43.99,44.05,43.58,43.68,977
1103241600,43.93,44.22,43.78,44.18,965
1103500800,44.33,44.37,44.13,44.35,840
1103587200,44.13,44.24,44.05,44.21,712
1103673600,44.2,44.23,43.89,44.02,879
1103760000,44.17,44.35,44.05,44.29,729
1104105600,44.29,44.56,44.27,44.48,905
1104192000,44.42,44.47,44.29,44.39,767
1104278400,43.92,44.02,43.35,43.68,1632
1104364800,43.5,43.88,43.49,43.83,1117
1104451200,43.85,43.94,43.73,43.84,703
1104710400,42.98,43.17,42.74,43.04,1838
1104796800,42.8,42.91,42.46,42.72,1515
1104883200,42.75,42.88,42.6,42.67,830
1104969600,42.48,42.56,42.07,42.18,1352
1105056000,42.09,42.39,41.7,41.83,1948
1105315200,41.99,42.07,41.89,41.95,1013
1105401600,42.21,42.28,42.12,42.21,1060
1105488000,42.52,42.79,42.48,42.62,1506
1105574400,42.39,42.57,42.34,42.56,814
1105660800,42.19,42.32,42.13,42.32,769
1106006400,42.22,42.38,42.15,42.34,741
1106092800,42.65,42.65,42.2,42.25,975
1106179200,42.12,42.32,42.11,42.25,701
1106265600,42.32,42.82,42.29,42.74,1014
1106524800,42.74,42.82,42.67,42.77,920
1106611200,42.53,42.56,42.1,42.24,1081
1106697600,42.59,42.78,42.56,42.69,724
1106784000,42.48,42.65,42.4,42.62,701
