time,open,high,low,close,tick_volume,spread
1571832000,26494.0,26530.0,26472.0,26516.0,2061,10
1571846400,26516.0,26603.0,26514.0,26586.0,6369,140
1571860800,26586.0,26610.0,26578.0,26602.0,864,150
1571889600,26598.0,26720.0,26546.0,26662.5,15506,120
1571904000,26671.0,26824.0,26654.0,26757.5,12275,20
1571918400,26758.5,26808.0,26747.5,26791.0,2127,65
1571932800,26791.0,26797.5,26698.5,26759.5,6289,10
1571947200,26758.5,26767.5,26745.5,26750.5,986,150
1571976000,26747.0,26787.5,26585.5,26680.0,15468,100
1571990400,26678.5,26764.5,26647.5,26661.0,10489,20
1572004800,26662.0,26713.5,26661.0,26684.5,2359,150
1572019200,26684.5,26798.5,26674.5,26767.5,5303,150
1572033600,26767.5,26806.5,26766.5,26782.5,924,150
1572235200,26746.0,27029.5,26745.5,26994.0,16857,20
1572249600,26969.5,26973.5,26878.5,26892.0,10452,130
1572264000,26891.0,26985.5,26871.5,26981.5,3194,150
1572278400,26980.5,27033.5,26967.5,27005.5,5289,150
1572292800,27005.5,27044.5,27003.5,27036.5,874,150
1572321600,27015.5,27052.0,26783.5,26799.5,15238,30
1572336000,26800.5,26807.5,26696.0,26714.0,9954,25
1572350400,26713.0,26757.5,26674.5,26743.5,3436,160
1572364800,26744.5,26811.5,26723.5,26797.5,6574,150
1572379200,26795.5,26822.0,26773.5,26773.5,761,150
1572408000,26735.5,26803.0,26613.0,26678.5,16635,150
1572422400,26708.0,26715.0,26568.5,26578.5,10299,150
1572436800,26577.5,26651.0,26567.5,26615.5,2762,150
1572451200,26618.0,26650.0,26519.5,26633.0,6853,180
1572465600,26633.0,26638.0,26527.5,26545.0,2291,420
1572494400,26683.0,27019.5,26661.5,26945.0,15177,150
1572508800,26958.5,26980.5,26820.5,26941.0,10559,150
1572523200,26942.0,26945.0,26719.5,26810.5,7946,180
1572537600,26811.5,26822.5,26685.5,26720.5,9941,50
1572552000,26720.5,26727.5,26677.5,26681.5,1301,30
1572580800,26751.5,27075.5,26725.5,27011.0,15264,20
1572595200,27030.5,27137.5,27009.5,27112.0,9794,20
1572609600,27111.0,27163.5,27108.0,27149.5,3409,30
1572624000,27149.5,27220.5,27140.5,27174.5,6023,30
1572638400,27174.5,27272.5,27163.5,27258.5,1501,30
1572840000,27201.5,27532.0,27199.5,27465.5,16081,30
1572854400,27490.5,27618.5,27445.5,27611.5,10348,15
1572868800,27610.5,27643.0,27581.5,27605.0,3878,30
1572883200,27604.5,27642.0,27554.5,27554.5,5642,20
1572897600,27554.5,27582.0,27542.0,27559.0,1064,30
1572926400,27570.5,27719.0,27449.0,27678.5,13124,20
1572940800,27678.5,27754.0,27622.0,27669.5,12157,30
1572955200,27667.5,27750.0,27659.5,27708.0,3625,20
1572969600,27709.0,27717.0,27599.0,27660.0,6522,20
1572984000,27660.0,27682.0,27655.0,27673.0,1034,40
1573012800,27613.5,27731.0,27538.0,27647.5,15624,30
1573027200,27670.0,27788.0,27654.0,27717.5,10405,30
1573041600,27716.5,27754.0,27674.0,27753.0,3214,30
1573056000,27752.0,27779.0,27642.0,27682.0,5802,30
1573070400,27683.0,27709.0,27636.0,27678.0,1715,30
1573099200,27629.5,27725.0,27538.0,27579.5,15988,15
1573113600,27595.0,27942.0,27576.0,27822.5,15091,15
1573128000,27823.5,27880.0,27811.0,27844.0,4387,20
1573142400,27844.0,27907.0,27823.0,27898.0,4311,30
1573156800,27901.0,27916.0,27861.0,27911.0,1487,20
1573185600,27859.0,27860.0,27670.5,27691.5,22650,15
1573200000,27724.0,27724.0,27588.0,27637.5,12046,20
1573214400,27638.5,27715.5,27630.5,27674.5,3786,45
1573228800,27674.5,27704.5,27573.5,27643.5,8843,15
1573243200,27644.5,27654.5,27611.0,27617.0,1071,45
1573444800,27414.0,27444.5,26972.0,27020.0,20238,20
1573459200,27017.5,27028.5,26796.5,26970.0,16192,15
1573473600,26970.0,27063.5,26937.0,27003.5,4710,60
1573488000,27003.5,27151.0,26973.5,27145.0,5702,15
1573502400,27144.0,27192.0,27128.0,27185.0,717,60
1573531200,27114.5,27114.5,26763.5,26959.0,18491,20
1573545600,26954.5,27081.5,26912.5,26958.0,10862,30
1573560000,26958.0,26991.5,26922.5,26951.5,4037,45
1573574400,26950.5,26988.5,26899.5,26916.5,5029,50
1573588800,26916.5,26943.5,26897.5,26904.5,1786,45
1573617600,26704.5,26732.0,26443.5,26509.5,23755,35
1573632000,26550.0,26558.0,26432.0,26442.5,12719,40
1573646400,26442.5,26481.0,26339.0,26396.0,5815,40
1573660800,26396.0,26505.0,26350.0,26499.0,7146,40
1573675200,26499.0,26519.0,26482.0,26499.0,1131,50
1573704000,26375.5,26579.5,26207.5,26246.5,22635,320
1573718400,26252.5,26353.5,26125.5,26272.5,16730,25
1573732800,26257.5,26386.0,26241.5,26356.0,5062,50
1573747200,26357.0,26384.0,26265.0,26276.0,6002,50
1573761600,26277.0,26324.0,26270.0,26304.0,1092,50
1573790400,26446.5,26603.5,26335.5,26363.0,17301,15
1573804800,26380.5,26401.5,26219.0,26233.0,13151,15
1573819200,26233.0,26309.5,26214.5,26271.5,4260,45
1573833600,26272.5,26385.5,26260.5,26360.5,5401,45
1573848000,26359.5,26386.5,26355.5,26358.5,869,20
1574049600,26306.0,26675.5,26293.5,26563.0,17959,40
1574064000,26590.5,26696.5,26455.5,26633.0,15135,25
1574078400,26631.0,26671.0,26604.5,26628.0,3437,20
1574092800,26626.5,26627.5,26516.0,26602.5,8384,40
1574107200,26602.5,26605.5,26559.5,26579.5,1112,45
1574136000,26493.5,26980.5,26483.5,26934.0,18951,30
1574150400,26928.5,27098.5,26919.5,27058.0,14184,40
1574164800,27056.0,27115.5,27038.5,27050.5,4319,20
1574179200,27049.5,27062.5,26884.5,26942.5,7264,20
1574193600,26940.5,26952.5,26911.5,26937.5,1445,50
1574222400,26851.5,26951.0,26773.0,26905.5,18333,40
1574236800,26897.0,26957.5,26737.5,26746.5,13857,15
1574251200,26745.5,26831.0,26726.5,26803.5,4698,40
1574265600,26803.5,26864.0,26789.0,26795.0,6036,15
1574280000,26794.5,26806.0,26637.5,26646.0,4084,45
1574308800,26531.5,26587.0,26259.0,26399.5,23184,30
1574323200,26427.0,26506.0,26399.5,26422.5,8242,40
1574337600,26423.5,26548.0,26419.5,26526.0,3202,45
1574352000,26526.0,26583.0,26448.0,26490.5,6063,15
1574366400,26491.0,26541.5,26489.0,26514.0,853,45
1574395200,26570.0,26668.0,26468.0,26504.5,17613,15
1574409600,26524.0,26639.0,26475.0,26592.5,12287,40
1574424000,26592.5,26625.0,26539.5,26608.0,4936,40
1574438400,26608.0,26650.0,26556.0,26569.5,7648,40
1574452800,26571.0,26582.0,26565.0,26570.0,777,45
1574654400,26617.5,27139.0,26617.5,27055.5,14114,40
1574668800,27076.0,27077.0,26931.0,27016.5,11275,15
1574683200,27015.5,27022.5,26976.0,26983.0,3338,40
1574697600,26982.0,27090.0,26962.0,27051.0,3145,40
1574712000,27051.0,27081.0,27043.5,27071.0,531,40
1574740800,27163.5,27268.5,26947.5,26982.0,19436,25
1574755200,26976.5,27033.5,26925.5,26951.0,11085,40
1574769600,26952.0,26990.5,26905.0,26981.5,3300,40
1574784000,26982.5,27003.5,26923.5,26970.0,6613,45
1574798400,26971.0,26971.5,26915.5,26920.5,1079,45
1574827200,26965.5,27002.0,26871.5,26915.5,16559,40
1574841600,26925.5,26975.0,26883.5,26941.5,9104,40
