time,open,high,low,close,tick_volume
1106870400,42.73,42.73,42.46,42.69,240
1107129600,42.23,42.31,41.99,42.27,140
1107216000,42.11,42.14,41.97,42.12,139
1107302400,42.23,42.23,42.04,42.23,100
1107388800,41.58,41.74,41.51,41.73,106
1107475200,41.6,41.66,41.42,41.5,112
1107734400,41.57,41.57,41.25,41.36,268
1107820800,41.28,41.41,41.09,41.29,148
1107907200,41.09,41.36,41.04,41.34,54
1107993600,41.51,41.85,41.48,41.81,160
1108080000,41.9,42.18,41.88,42.12,84
1108339200,42.44,42.65,42.35,42.61,102
1108425600,42.44,42.63,42.4,42.59,67
1108512000,42.35,42.65,42.25,42.56,60
1108598400,42.56,42.85,42.56,42.74,85
1108684800,42.73,42.87,42.64,42.83,77
1109030400,43.43,43.63,43.24,43.62,131
1109116800,43.3,43.58,43.21,43.48,132
1109203200,43.51,43.51,43.25,43.43,122
1109289600,43.52,43.58,43.29,43.54,106
1109548800,43.68,43.78,43.55,43.61,103
1109635200,43.37,43.37,43.11,43.28,262
1109721600,43.25,43.38,43.15,43.32,86
1109808000,43.11,43.16,42.94,43.06,96
1109894400,43.43,43.55,43.36,43.44,94
1110153600,43.35,43.52,43.29,43.48,74
1110240000,43.68,44.08,43.68,44.05,100
1110326400,43.97,44.24,43.97,44.08,120
1110412800,44.19,44.27,44.06,44.23,83
1110499200,44.37,44.69,44.37,44.5,115
1110758400,44.3,44.3,43.99,44.06,136
1110844800,44.28,44.28,43.97,44.05,72
1110931200,44.32,44.39,44.23,44.37,108
1111017600,43.94,43.95,43.75,43.87,108
1111104000,43.7,43.97,43.63,43.95,76
1111363200,43.25,43.27,42.9,43.1,139
1111449600,43.24,43.28,42.64,42.72,90
1111536000,42.67,42.69,42.41,42.47,109
1111622400,42.53,42.58,42.42,42.47,63
1111968000,42.52,42.6,42.46,42.6,46
1112054400,42.64,42.65,42.57,42.62,57
1112140800,42.68,42.8,42.6,42.61,58
1112227200,42.9,42.9,42.75,42.86,80
1112313600,42.62,42.62,42.5,42.59,88
1112572800,42.43,42.44,42.27,42.42,86
1112659200,42.5,42.53,42.41,42.48,122
1112745600,42.54,42.74,42.54,42.68,268
1112832000,42.81,42.84,42.55,42.59,209
1112918400,42.51,42.7,42.47,42.68,133
1113177600,42.88,42.94,42.76,42.8,123
1113264000,42.75,42.83,42.65,42.8,93
1113350400,42.75,42.93,42.75,42.92,120
1113436800,42.49,42.49,42.14,42.38,73
1113523200,42.42,42.6,42.4,42.46,61
1113782400,42.58,42.8,42.58,42.73,58
1113868800,42.8,43.36,42.73,43.33,58
1113955200,43.25,43.57,43.25,43.5,44
1114041600,43.46,43.46,43.18,43.18,45
1114128000,43.51,43.53,43.39,43.47,37
1114387200,43.41,43.49,43.24,43.43,111
1114473600,43.62,43.73,43.52,43.71,58
1114560000,43.57,43.57,43.19,43.23,59
1114646400,43.17,43.28,43.06,43.06,53
1114732800,43.28,43.64,43.28,43.43,66
1114992000,43.18,43.2,42.89,42.97,60
1115078400,42.86,42.86,42.65,42.8,46
1115164800,42.93,42.95,42.84,42.91,54
1115251200,43.01,43.02,42.76,43.0,43
1115337600,42.5,42.62,42.38,42.58,50
1115596800,42.59,42.67,42.54,42.62,50
1115683200,42.75,42.8,42.63,42.63,55
1115769600,42.57,42.82,42.57,42.74,40
1115856000,42.5,42.5,42.02,42.21,63
1115942400,42.1,42.14,41.88,41.93,58
1116201600,41.85,41.94,41.83,41.88,39
1116288000,41.96,42.08,41.86,41.89,29
1116374400,42.0,42.13,41.92,42.1,42
1116460800,42.06,42.06,41.91,42.03,35
1116547200,41.86,41.86,41.65,41.7,33
1116806400,41.76,41.79,41.57,41.66,58
1116892800,41.81,41.81,41.67,41.72,31
1116979200,41.84,41.91,41.75,41.89,61
1117065600,41.78,41.84,41.69,41.69,32
1117152000,41.88,42.0,41.77,41.97,39
1117497600,41.43,41.72,41.38,41.69,31
1117584000,41.39,41.69,41.39,41.55,74
1117670400,42.03,42.25,41.99,42.14,58
1117756800,42.42,42.42,42.22,42.25,41
1118016000,42.61,42.67,42.49,42.55,48
1118102400,42.42,42.51,42.38,42.44,35
1118188800,42.46,42.57,42.31,42.36,25
1118275200,42.33,42.44,42.17,42.32,38
1118361600,42.27,42.73,42.19,42.7,34
1118620800,42.85,42.97,42.78,42.84,37
1118707200,42.7,42.72,42.61,42.63,30
1118793600,42.72,42.93,42.72,42.81,28
1118880000,43.38,43.56,43.21,43.44,54
1118966400,43.88,43.88,43.68,43.71,62
1119225600,43.91,43.95,43.71,43.72,53
1119312000,43.63,43.86,43.45,43.8,43
1119398400,43.72,43.79,43.63,43.78,29
1119484800,43.85,44.16,43.85,44.08,106
