time,open,high,low,close,tick_volume
1350432000,66.19,66.24,66.05,66.22,26
1350518400,66.02,66.3,65.91,66.09,25
1350604800,65.82,65.82,64.87,64.96,55
1350864000,64.96,65.0,64.71,64.91,23
1350950400,64.17,64.37,63.95,64.22,33
1351036800,64.39,64.39,63.89,63.89,22
1351123200,64.45,64.45,63.82,64.09,37
1351209600,64.07,64.3,63.74,64.06,123
1351641600,64.13,64.2,63.89,64.18,79
1351728000,64.87,64.9,64.74,64.83,41
1351814400,64.83,64.83,64.28,64.28,29
1352073600,64.21,64.54,64.12,64.44,42
1352160000,64.55,65.13,64.55,64.9,51
1352246400,64.06,64.06,63.22,63.62,74
1352332800,63.54,63.71,62.79,62.79,286
1352419200,62.5,63.29,62.48,62.78,55
1352678400,62.97,62.99,62.68,62.79,70
1352764800,62.5,63.16,62.39,62.57,32
1352851200,62.8,62.8,61.59,61.59,44
1352937600,61.68,61.92,61.34,61.56,62
1353024000,61.7,61.95,61.17,61.92,95
1353283200,62.58,63.12,62.58,63.12,65
1353369600,63.11,63.28,62.86,63.19,50
1353456000,63.28,63.38,63.19,63.36,43
1353628800,63.62,64.16,63.62,64.16,45
1353888000,63.83,64.08,63.71,64.08,373
1353974400,63.97,64.15,63.71,63.76,67
1354060800,63.56,64.25,63.25,64.25,79
1354147200,64.6,64.66,64.32,64.61,60
1354233600,64.58,64.68,64.4,64.65,100
1354492800,64.96,64.96,64.27,64.27,85
1354579200,64.3,64.44,64.08,64.22,49
1354665600,64.43,64.61,64.03,64.32,97
1354752000,64.25,64.54,64.24,64.54,154
1354838400,64.79,64.9,64.4,64.7,59
1355097600,64.64,64.89,64.64,64.8,75
1355184000,65.0,65.44,65.0,65.22,86
1355270400,65.41,65.64,65.19,65.19,275
1355356800,65.28,65.34,64.69,64.91,111
1355443200,64.64,64.77,64.51,64.52,80
1355702400,64.79,65.36,64.77,65.36,126
1355788800,65.49,66.16,65.43,66.16,169
1355875200,65.81,65.81,65.24,65.25,102
1355961600,65.33,65.65,65.18,65.64,151
1356048000,64.73,65.15,64.71,65.03,267
1356307200,64.97,64.97,64.78,64.9,98
1356480000,65.04,65.04,64.51,64.54,50
1356566400,64.67,64.67,63.85,64.52,89
1356652800,64.19,64.34,63.81,63.81,95
1356912000,63.75,64.97,63.66,64.94,318
1357084800,66.91,66.91,66.02,66.5,252
1357171200,66.61,66.73,66.33,66.46,206
1357257600,66.61,66.87,66.48,66.81,155
1357516800,66.6,66.68,66.38,66.57,314
1357603200,66.54,66.54,66.2,66.4,103
1357689600,66.61,66.77,66.46,66.59,85
1357776000,67.0,67.07,66.69,67.03,67
1357862400,67.12,67.12,66.89,67.06,173
1358121600,67.07,67.07,66.86,66.91,122
1358208000,66.73,67.14,66.73,67.1,81
1358294400,67.03,67.16,66.97,67.09,68
1358380800,67.41,67.67,67.3,67.55,114
1358467200,67.51,67.75,67.32,67.72,315
1358812800,67.75,68.04,67.58,68.04,165
1358899200,68.12,68.22,68.02,68.15,100
1358985600,67.99,68.51,67.99,68.24,203
1359072000,68.5,68.61,68.3,68.55,129
1359331200,68.66,68.67,68.29,68.51,173
1359417600,68.44,68.85,68.43,68.8,125
1359504000,68.85,68.94,68.41,68.44,188
1359590400,68.45,68.64,68.32,68.43,175
1359676800,68.88,69.1,68.7,69.05,174
1359936000,68.69,68.73,68.27,68.29,149
1360022400,68.71,69.12,68.63,68.95,126
1360108800,68.75,69.08,68.68,69.02,106
1360195200,69.09,69.09,68.51,68.94,116
1360281600,69.1,69.34,69.02,69.3,97
1360540800,69.34,69.37,69.15,69.31,133
1360627200,69.3,69.51,69.26,69.45,64
1360713600,69.61,69.69,69.33,69.5,91
1360800000,69.35,69.67,69.35,69.58,122
1360886400,69.64,69.71,69.33,69.49,46
1361232000,69.66,70.06,69.66,70.06,182
1361318400,70.03,70.03,69.15,69.17,99
1361404800,68.96,68.96,68.48,68.72,259
1361491200,69.04,69.32,68.89,69.32,93
1361750400,69.77,69.77,68.08,68.11,127
1361836800,68.31,68.53,67.92,68.44,180
1361923200,68.47,69.54,68.47,69.36,89
1362009600,69.27,69.71,69.26,69.26,129
1362096000,68.91,69.47,68.71,69.38,76
1362355200,69.19,69.71,69.16,69.71,57
1362441600,70.18,70.56,70.13,70.37,83
1362528000,70.72,70.72,70.37,70.49,217
1362614400,70.72,70.72,70.55,70.7,77
1362700800,71.03,71.05,70.63,71.01,100
1362960000,70.92,71.25,70.92,71.25,137
1363046400,71.24,71.24,70.85,71.04,70
