time,open,high,low,close,tick_volume,spread
1063152000,101.91,101.91,100.23,100.27,2595,0
1063238400,100.38,101.55,100.19,101.33,2836,0
1063324800,100.71,101.8,99.8,101.54,2303,0
1063584000,101.62,102.3,101.05,101.12,3190,0
1063670400,101.45,102.9,101.42,102.74,1877,0
1063756800,102.57,103.1,102.18,102.47,2167,0
1063843200,102.75,103.68,102.0,103.68,1568,0
1063929600,103.9,103.9,103.09,103.68,1556,0
1064188800,102.2,102.9,101.74,102.15,1963,0
1064275200,102.3,103.57,102.3,103.44,2488,0
1064361600,103.8,103.85,101.16,101.22,3462,0
1064448000,101.45,101.7,98.53,98.62,4372,0
1064534400,98.42,98.61,96.5,96.52,5060,0
1064793600,97.25,98.24,95.76,98.2,6508,0
1064880000,97.88,98.3,96.15,97.04,6365,0
1064966400,97.37,99.94,97.3,99.63,4986,0
1065052800,99.7,100.75,99.51,100.25,3157,0
1065139200,101.66,102.7,101.5,102.14,4184,0
1065398400,102.2,103.08,101.79,103.03,2405,0
1065484800,102.64,103.9,102.2,103.83,5765,0
1065571200,103.86,104.2,102.44,102.78,3542,0
1065657600,104.02,105.19,102.9,103.62,3634,0
1065744000,103.85,104.16,102.52,103.49,3334,0
1066003200,104.12,105.69,103.9,105.29,2962,0
1066089600,105.35,106.25,104.88,106.16,3284,0
1066176000,106.66,106.8,104.8,105.05,4419,0
1066262400,104.81,105.93,104.75,105.67,1873,0
1066348800,105.7,105.91,103.69,103.74,4373,0
1066608000,103.94,104.55,103.51,104.03,3521,0
1066694400,103.98,105.15,103.98,104.7,2673,0
1066780800,103.67,103.89,102.3,102.5,3619,0
1066867200,101.65,102.51,100.87,101.84,3477,0
1066953600,100.85,101.83,100.28,101.11,3761,0
1067212800,101.6,103.11,101.55,102.66,3249,0
1067299200,103.31,104.89,103.06,104.84,2937,0
1067385600,104.77,106.25,104.58,106.19,3125,0
1067472000,107.0,107.25,105.63,105.9,3475,0
1067558400,106.27,106.56,104.06,105.44,2437,0
1067817600,106.19,107.5,106.19,107.42,2866,0
1067904000,107.2,107.99,106.92,107.47,2480,0
1067990400,107.35,107.75,106.06,107.48,3315,0
1068076800,108.01,108.5,107.05,108.5,3152,0
1068163200,109.1,109.39,108.13,108.2,2360,0
1068422400,108.27,108.52,106.34,106.36,2822,0
1068508800,106.31,106.49,105.0,105.3,3313,0
1068595200,105.68,107.9,105.68,107.9,3225,0
1068681600,107.57,108.5,107.25,108.16,2314,0
1068768000,108.23,108.94,106.19,106.32,2908,0
1069027200,105.43,105.5,103.89,105.05,4005,0
1069113600,105.55,106.19,103.86,104.04,4617,0
1069200000,104.1,105.3,103.57,105.03,3419,0
1069286400,104.0,105.74,103.78,104.09,3495,0
1069372800,104.85,105.3,104.3,105.09,2803,0
1069632000,106.05,107.89,105.8,107.66,3054,0
1069718400,107.79,108.84,107.51,108.33,3911,0
1069804800,109.1,109.49,107.55,108.93,2770,0
1069977600,108.67,109.46,108.64,109.45,875,0
1070236800,109.87,110.8,109.75,110.8,2538,0
1070323200,110.85,111.42,110.35,110.56,3701,0
1070409600,111.08,111.36,108.7,108.82,2359,0
1070496000,108.81,109.01,107.11,108.75,3853,0
1070582400,108.31,108.5,107.15,107.51,3069,0
1070841600,107.4,108.55,106.95,108.24,3000,0
1070928000,108.85,108.95,106.46,106.5,4267,0
1071014400,107.0,107.0,104.89,105.56,3859,0
1071100800,105.8,108.5,105.65,108.26,4391,0
1071187200,108.36,108.96,107.54,108.93,2772,0
1071446400,109.01,110.9,106.6,106.62,3940,0
1071532800,106.64,107.17,105.25,107.16,3502,0
1071619200,107.2,107.31,106.03,107.0,2556,0
1071705600,107.17,109.0,106.92,108.63,3042,0
1071792000,108.8,108.93,107.67,108.78,2543,0
1072051200,108.25,109.43,108.06,109.43,2234,0
1072137600,109.49,110.39,109.24,110.3,2117,0
1072224000,110.1,110.36,109.87,110.08,783,0
1072396800,110.35,110.75,110.2,110.39,748,0
1072656000,110.96,112.25,110.91,112.2,1565,0
1072742400,112.0,112.75,111.81,112.37,1886,0
1072828800,112.65,112.99,110.8,110.85,2697,0
1073001600,111.17,112.63,111.16,111.84,3715,0
1073260800,112.75,113.55,112.31,113.53,3137,0
1073347200,113.37,114.13,113.0,113.52,2776,0
1073433600,113.32,114.38,112.96,114.3,2482,0
1073520000,115.28,115.73,114.41,115.47,2662,0
1073606400,114.66,116.01,114.12,114.4,3060,0
1073865600,114.88,116.25,114.5,116.15,2927,0
1073952000,116.31,116.32,114.42,115.69,3325,0
1074038400,116.38,116.74,115.77,116.66,2283,0
1074124800,116.75,117.1,115.28,116.84,3541,0
1074211200,117.7,118.12,117.12,117.54,2439,0
1074556800,118.1,118.99,117.31,118.93,3755,0
1074643200,118.85,119.37,117.5,118.7,3163,0
1074729600,119.51,119.73,117.66,117.66,3120,0
1074816000,118.19,118.82,117.38,118.65,3387,0
1075075200,118.7,119.87,117.91,119.87,1940,0
1075161600,119.82,119.9,118.3,118.35,2896,0
1075248000,119.19,119.34,115.88,116.28,3120,0
1075334400,116.7,116.99,114.16,115.47,5396,0
1075420800,115.61,116.38,114.75,115.4,3564,0
1075680000,115.84,116.75,114.64,115.54,3209,0
1075766400,115.6,115.82,115.11,115.45,2393,0
1075852800,114.79,114.81,112.3,112.37,3871,0
1075939200,113.14,113.87,112.59,113.36,2993,0
1076025600,113.45,116.63,113.45,116.24,3686,0
1076284800,116.79,117.3,116.19,116.5,3265,0
1076371200,116.6,117.93,116.36,117.91,2378,0
1076457600,118.01,118.93,117.5,118.75,2730,0
1076544000,118.73,119.1,117.81,117.88,1982,0
1076630400,118.23,118.74,116.4,116.4,2566,0
1076976000,117.42,118.56,117.36,118.32,2524,0
1077062400,118.8,118.87,117.48,117.89,2044,0
1077148800,118.8,118.94,115.8,115.93,3046,0
1077235200,116.14,116.5,114.56,115.6,3845,0
1077494400,115.91,115.96,113.58,113.7,4465,0
1077580800,113.5,114.99,112.6,113.89,5667,0
1077667200,114.14,115.46,113.68,115.36,3402,0
1077753600,115.18,116.45,114.8,116.17,3936,0
1077840000,116.37,117.1,115.95,116.32,3325,0
1078099200,117.0,118.59,116.8,118.41,3338,0
1078185600,118.4,118.9,117.62,117.62,3314,0
1078272000,117.39,118.32,116.57,117.95,2660,0
1078358400,117.75,119.3,117.37,119.21,1867,0
1078444800,118.36,120.43,118.2,119.41,3610,0
1078704000,119.81,120.32,117.92,117.96,2552,0
1078790400,117.9,118.3,116.38,116.9,3342,0
1078876800,117.07,117.76,114.34,114.56,5926,0
1078963200,113.92,116.0,113.08,113.29,6347,0
1079049600,114.0,116.94,113.82,116.24,5151,0
1079308800,115.82,115.88,112.82,112.82,7965,0
1079395200,114.03,114.53,112.02,113.27,8668,0
1079481600,113.85,115.64,113.8,115.05,5199,0
1079568000,114.94,115.23,113.35,114.57,5906,0
1079654400,114.75,115.12,113.47,113.63,4653,0
1079913600,112.63,113.15,111.1,111.6,7291,0
1080000000,112.32,113.15,111.27,111.9,5394,0
1080086400,112.02,112.36,110.72,111.43,4959,0
1080172800,112.35,114.19,112.0,114.16,5417,0
1080259200,113.66,114.99,113.59,114.05,4571,0
1080518400,115.0,116.5,114.92,116.15,3149,0
