time,open,high,low,close,tick_volume,spread
1556496000,22355.0,22425.0,22349.0,22404.0,266,7
1556510400,22404.0,22450.0,22394.0,22414.0,641,7
1556524800,22414.0,22449.0,22399.0,22409.0,595,3
1556539200,22409.0,22414.0,22344.0,22390.0,727,4
1556553600,22390.0,22434.0,22364.0,22424.0,1104,3
1556568000,22424.0,22449.0,22379.0,22399.0,455,8
1556582400,22374.0,22389.0,22359.0,22379.0,166,8
1556596800,22379.0,22384.0,22259.0,22309.0,771,3
1556611200,22309.0,22364.0,22294.0,22344.0,618,6
1556625600,22349.0,22394.0,22339.0,22354.0,674,5
1556640000,22354.0,22399.0,22270.0,22334.0,1321,6
1556654400,22334.0,22414.0,22324.0,22404.0,727,7
1556668800,22404.0,22414.0,22379.0,22414.0,111,7
1556683200,22414.0,22469.0,22399.0,22444.0,319,7
1556697600,22444.0,22470.0,22444.0,22444.0,284,7
1556712000,22444.0,22444.0,22370.0,22389.0,403,7
1556726400,22389.0,22390.0,22279.0,22294.0,933,7
1556740800,22299.0,22379.0,22164.0,22174.0,1871,4
1556755200,22189.0,22289.0,22184.0,22284.0,339,8
1556769600,22284.0,22314.0,22244.0,22279.0,760,7
1556784000,22279.0,22349.0,22269.0,22334.0,1088,3
1556798400,22330.0,22364.0,22264.0,22279.0,1043,7
1556812800,22279.0,22350.0,22169.0,22234.0,2861,4
1556827200,22234.0,22305.0,22219.0,22289.0,1461,8
1556841600,22275.0,22279.0,22229.0,22269.0,246,7
1556856000,22269.0,22324.0,22209.0,22295.0,726,7
1556870400,22294.0,22349.0,22279.0,22339.0,701,7
1556884800,22339.0,22399.0,22309.0,22384.0,804,2
1556899200,22384.0,22469.0,22344.0,22459.0,1428,8
1556913600,22459.0,22485.0,22429.0,22474.0,453,8
1557100800,22039.0,22089.0,21944.0,21959.0,1412,3
1557115200,21959.0,22039.0,21909.0,22034.0,2198,3
1557129600,22034.0,22069.0,21919.0,21934.0,2083,4
1557144000,21934.0,22034.0,21915.0,22000.0,1395,3
1557158400,22000.0,22184.0,21949.0,22094.0,2634,3
1557172800,22094.0,22224.0,22078.0,22078.0,743,3
1557187200,22120.0,22150.0,21975.0,21990.0,1293,7
1557201600,21990.0,22080.0,21890.0,21925.0,2606,3
1557216000,21925.0,22060.0,21870.0,21935.0,2115,3
1557230400,21935.0,21945.0,21860.0,21890.0,1430,3
1557244800,21890.0,21890.0,21629.0,21640.0,4325,3
1557259200,21640.0,21664.0,21510.0,21659.0,3130,3
1557273600,21599.0,21624.0,21540.0,21550.0,1349,8
