time,open,high,low,close,tick_volume,spread
1064966400,71.75,73.29,71.75,73.15,2050,0
1065052800,73.19,73.7,72.84,73.5,3930,0
1065139200,74.75,75.75,74.65,75.18,4727,0
1065398400,75.2,75.87,75.04,75.78,2172,0
1065484800,75.42,76.37,75.15,76.37,2389,0
1065571200,76.72,76.72,75.55,75.86,1801,0
1065657600,76.8,77.58,75.97,76.35,1837,0
1065744000,76.6,76.96,76.2,76.73,680,0
1066003200,76.94,77.79,76.94,77.35,882,0
1066089600,77.34,77.79,77.0,77.77,1082,0
1066176000,78.6,78.83,77.37,77.56,1199,0
1066262400,77.5,78.19,77.19,78.01,847,0
1066348800,77.9,78.14,76.4,76.5,839,0
1066608000,76.72,77.03,76.19,76.96,995,0
1066694400,77.16,77.84,76.95,77.6,515,0
1066780800,76.92,77.23,75.83,75.97,873,0
1066867200,75.34,75.8,74.78,75.51,1193,0
1066953600,74.55,74.7,73.63,74.63,907,0
1067212800,75.04,75.72,74.93,75.16,575,0
1067299200,75.5,77.27,75.5,77.25,1146,0
1067385600,76.96,77.58,76.96,77.5,864,0
1067472000,78.38,78.43,77.24,77.37,1783,0
1067558400,77.68,77.75,77.13,77.34,1292,0
1067817600,77.59,78.83,77.59,78.74,572,0
1067904000,78.6,78.9,78.2,78.35,475,0
1067990400,78.3,78.72,77.5,78.5,583,0
1068076800,78.75,79.18,78.13,79.01,467,0
1068163200,79.23,79.68,78.82,78.86,544,0
1068422400,78.89,78.9,77.57,77.62,357,0
1068508800,77.85,77.85,76.9,77.18,474,0
1068595200,77.4,78.89,77.4,78.87,508,0
1068681600,78.7,78.85,78.28,78.71,356,0
1068768000,78.63,79.1,77.18,77.21,571,0
1069027200,77.13,77.13,75.58,76.28,772,0
1069113600,76.7,77.0,75.29,75.31,838,0
1069200000,75.28,76.13,75.08,75.97,591,0
1069286400,76.15,76.66,75.2,75.28,831,0
1069372800,75.55,75.87,75.04,75.72,367,0
1069632000,76.48,77.87,76.48,77.87,478,0
1069718400,77.99,78.34,77.73,77.79,508,0
1069804800,78.39,78.49,77.25,78.16,573,0
1069977600,78.22,78.55,78.05,78.29,229,0
1070236800,78.7,79.59,78.68,79.48,840,0
1070323200,79.43,79.91,79.13,79.15,559,0
1070409600,79.71,80.05,78.51,78.51,1125,0
1070496000,78.5,78.85,77.65,78.76,1391,0
1070582400,78.02,78.38,77.38,77.58,872,0
1070841600,77.4,77.93,77.0,77.83,864,0
1070928000,78.23,78.36,76.24,76.24,1524,0
1071014400,76.35,76.62,75.46,76.14,891,0
1071100800,76.38,77.85,76.18,77.62,1264,0
1071187200,78.0,78.0,77.25,77.96,526,0
1071446400,79.5,80.0,76.75,76.8,1319,0
1071532800,76.7,77.11,76.0,77.0,870,0
1071619200,76.82,77.06,76.29,76.77,614,0
1071705600,77.06,78.32,77.02,78.1,853,0
1071792000,78.25,78.25,77.55,77.93,387,0
1072051200,77.68,78.22,77.55,78.05,610,0
1072137600,78.14,78.84,78.0,78.84,431,0
1072224000,78.75,78.94,78.41,78.67,166,0
1072396800,78.46,79.25,78.46,78.81,175,0
1072656000,79.03,80.17,78.95,80.17,396,0
