time,open,high,low,close,tick_volume
1257206400,25.0,25.0,24.24,24.57,376
1257292800,27.0,27.0,24.5,24.6,362
1257379200,24.92,25.09,24.73,25.08,289
1257465600,25.1,25.2,24.92,25.15,382
1257724800,25.59,25.72,25.33,25.72,296
1257811200,25.66,25.79,25.56,25.66,276
1257897600,25.89,26.0,25.72,25.84,587
1257984000,25.83,25.91,25.48,25.53,330
1258070400,25.64,25.78,25.5,25.68,403
1258329600,25.92,26.19,25.85,26.06,446
1258416000,26.05,26.12,25.91,26.11,338
1258502400,26.15,26.15,25.95,26.09,234
1258588800,25.93,25.93,25.55,25.72,285
1258675200,25.6,25.68,25.52,25.62,253
1258934400,25.95,26.12,25.9,25.94,234
1259020800,25.99,25.99,25.76,25.94,259
1259107200,26.02,26.07,25.96,26.05,287
1259280000,25.42,25.8,25.28,25.62,395
1259539200,25.61,25.73,25.49,25.72,312
1259625600,25.98,26.1,25.91,26.02,304
1259712000,26.04,26.21,25.98,26.08,228
1259798400,26.15,26.27,25.84,25.84,382
1259884800,26.27,26.32,25.77,26.04,474
1260144000,26.11,26.15,25.94,25.99,418
1260230400,25.8,25.87,25.64,25.73,539
1260316800,25.7,25.84,25.58,25.81,419
1260403200,26.0,26.04,25.88,25.92,328
1260489600,26.05,26.08,25.94,26.04,282
1260748800,26.3,26.3,26.14,26.29,426
1260835200,26.24,26.28,26.12,26.14,370
1260921600,26.3,26.35,26.18,26.24,403
1261008000,26.09,26.09,25.9,25.94,268
1261094400,26.09,26.09,25.85,26.08,305
1261353600,26.27,26.42,26.22,26.37,342
1261440000,26.48,26.51,26.39,26.46,547
1261526400,26.55,26.55,26.38,26.53,342
1261612800,26.56,26.64,26.53,26.63,215
1261958400,26.71,26.75,26.56,26.65,349
1262044800,26.73,26.73,26.62,26.64,263
1262131200,26.55,26.63,26.51,26.63,188
1262217600,26.71,26.71,26.36,26.36,423
1262563200,26.65,26.83,26.6,26.8,539
1262649600,26.86,26.89,26.74,26.89,473
1262736000,26.91,26.95,26.85,26.91,316
1262822400,26.89,27.03,26.76,27.0,344
1262908800,26.96,27.11,26.87,27.08,215
1263168000,27.25,27.26,27.05,27.15,527
1263254400,26.97,27.0,26.77,26.85,424
1263340800,26.95,27.15,26.81,27.11,644
1263427200,27.08,27.2,27.06,27.17,287
1263513600,27.16,27.16,26.75,26.88,771
