time,open,high,low,close,tick_volume
1257206400,24.32,24.58,23.5,24.53,207
1257292800,24.8,24.96,24.6,24.62,135
1257379200,24.83,25.1,24.78,25.09,131
1257465600,24.99,25.31,24.91,25.14,251
1257724800,25.52,26.46,25.39,25.7,432
1257811200,25.66,25.8,25.6,25.69,271
1257897600,25.91,26.01,25.75,25.85,324
1257984000,25.98,25.98,25.54,25.59,313
1258070400,25.67,25.81,25.53,25.71,649
1258329600,25.91,26.19,25.89,26.1,341
1258416000,26.05,26.13,25.95,26.12,316
1258502400,26.11,26.13,25.95,26.1,302
1258588800,25.99,25.99,25.6,25.78,394
1258675200,25.65,25.72,25.57,25.69,275
1258934400,25.97,26.16,25.93,25.99,208
1259020800,26.04,26.04,25.82,25.99,268
1259107200,26.07,26.14,25.99,26.12,285
1259280000,25.48,25.85,25.39,25.69,397
1259539200,25.68,25.8,25.56,25.78,384
1259625600,25.99,26.15,25.99,26.06,606
1259712000,26.13,26.23,26.0,26.09,277
1259798400,26.16,26.29,25.86,25.89,232
1259884800,26.24,26.34,25.83,26.02,495
1260144000,26.02,26.14,25.94,25.99,425
1260230400,25.85,25.85,25.66,25.72,611
1260316800,25.74,25.82,25.6,25.79,309
1260403200,25.97,26.03,25.9,25.94,290
1260489600,26.07,26.1,25.96,26.05,206
1260748800,26.25,26.28,26.14,26.26,232
1260835200,26.19,26.26,26.09,26.12,191
1260921600,26.28,26.33,26.15,26.19,137
1261008000,26.05,26.05,25.87,25.9,253
1261094400,26.04,26.04,25.82,26.04,259
1261353600,26.18,26.38,26.18,26.29,216
1261440000,26.37,26.43,26.32,26.39,307
1261526400,26.45,26.45,26.31,26.42,288
1261612800,26.49,26.55,26.47,26.55,143
1261958400,26.64,26.66,26.5,26.54,262
1262044800,26.65,26.65,26.55,26.56,273
1262131200,26.46,26.55,26.45,26.54,263
1262217600,26.62,26.62,26.28,26.28,453
1262563200,26.51,26.72,26.48,26.68,413
1262649600,26.72,26.79,26.64,26.78,374
1262736000,26.78,26.86,26.74,26.83,299
1262822400,26.8,26.95,26.7,26.93,214
1262908800,26.86,27.0,26.81,27.0,778
1263168000,27.14,27.14,26.93,27.04,740
1263254400,26.89,26.9,26.69,26.78,477
1263340800,26.87,27.07,26.72,27.03,356
1263427200,26.99,27.11,26.97,27.06,523
1263513600,27.06,27.06,26.69,26.78,573
1263859200,26.78,27.12,26.76,27.1,517
1263945600,26.96,26.96,26.64,26.85,764
1264032000,26.87,26.93,26.31,26.36,558
1264118400,26.26,26.32,25.75,25.79,502
1264377600,26.02,26.05,25.82,25.9,478
1264464000,25.82,26.05,25.74,25.8,284
1264550400,25.74,25.94,25.6,25.91,329
1264636800,26.01,26.01,25.46,25.65,323
1264723200,25.75,25.89,25.35,25.36,299
1264982400,25.54,25.74,25.51,25.73,754
1265068800,25.8,26.08,25.71,26.05,399
1265155200,25.92,26.05,25.86,25.93,337
1265241600,25.73,25.73,25.1,25.1,489
1265328000,25.16,25.2,24.67,25.2,934
1265587200,25.2,25.31,24.99,24.99,417
1265673600,25.29,25.5,25.1,25.3,517
1265760000,25.27,25.38,25.05,25.27,393
1265846400,25.24,25.55,25.11,25.53,505
1265932800,25.26,25.51,25.18,25.5,516
1266278400,25.76,25.94,25.64,25.92,540
1266364800,26.07,26.08,25.95,26.06,423
1266451200,26.04,26.25,26.01,26.23,465
1266537600,26.16,26.36,26.1,26.29,479
1266796800,26.4,26.4,26.22,26.24,403
1266883200,26.23,26.26,25.9,25.95,376
1266969600,26.04,26.21,25.96,26.18,331
1267056000,25.83,26.17,25.75,26.14,789
1267142400,26.19,26.25,26.03,26.21,259
1267401600,26.31,26.48,26.3,26.45,616
1267488000,26.58,26.66,26.5,26.55,1027
1267574400,26.61,26.72,26.5,26.56,445
1267660800,26.64,26.67,26.51,26.65,1063
1267747200,26.79,27.03,26.77,27.0,417
1268006400,27.05,27.07,26.97,27.01,233
1268092800,26.93,27.17,26.91,27.06,264
1268179200,27.1,27.24,27.06,27.19,361
1268265600,27.12,27.29,27.03,27.29,297
1268352000,27.41,27.41,27.21,27.3,388
1268611200,27.23,27.31,27.1,27.3,243
1268697600,27.39,27.54,27.37,27.54,398
1268784000,27.64,27.76,27.61,27.67,344
1268870400,27.66,27.69,27.56,27.65,253
1268956800,27.55,27.55,27.4,27.5,286
1269216000,27.5,27.61,27.47,27.56,412
1269302400,27.63,27.77,27.53,27.75,421
1269388800,27.68,27.73,27.58,27.62,523
1269475200,27.76,27.9,27.56,27.56,497
1269561600,27.73,27.74,27.46,27.58,1030
1269820800,27.7,27.77,27.66,27.74,617
1269907200,27.8,27.85,27.65,27.74,525
1269993600,27.66,27.78,27.59,27.67,511
1270080000,27.88,27.94,27.69,27.85,374
1270425600,27.98,28.1,27.89,28.09,673
1270512000,28.03,28.21,27.99,28.14,1285
1270598400,28.14,28.15,27.88,27.99,744
1270684800,27.91,28.12,27.82,28.09,939
1270771200,28.16,28.27,28.1,28.26,670
1271030400,28.33,28.38,28.27,28.32,627
1271116800,28.33,28.39,28.16,28.34,691
1271203200,28.47,28.66,28.4,28.66,729
1271289600,28.63,28.74,28.61,28.68,923
1271376000,28.59,28.62,28.1,28.25,992
1271635200,28.13,28.33,28.0,28.33,957
1271721600,28.5,28.59,28.4,28.56,914
1271808000,28.6,28.64,28.37,28.52,743
1271894400,28.33,28.62,28.15,28.61,746
1271980800,28.59,28.82,28.54,28.8,589
1272240000,28.83,28.88,28.67,28.69,628
1272326400,28.57,28.67,27.97,28.02,767
1272412800,28.18,28.28,27.98,28.21,596
1272499200,28.43,28.62,28.39,28.56,668
1272585600,28.59,28.61,28.1,28.1,527
1272844800,28.24,28.53,28.2,28.47,772
1272931200,28.12,28.13,27.66,27.77,729
1273017600,27.54,27.84,26.78,27.59,855
1273104000,27.5,30.0,0.1,26.65,1156
1273190400,26.6,26.85,25.89,26.34,877
1273449600,27.36,27.54,27.15,27.4,687
1273536000,27.15,27.7,27.14,27.37,410
1273622400,27.49,27.78,27.44,27.76,627
1273708800,27.72,27.82,27.4,27.44,442
1273795200,27.21,27.24,26.7,26.91,429
1274054400,27.0,27.08,26.43,26.93,457
1274140800,27.18,27.24,26.49,26.56,451
1274227200,26.39,26.62,26.09,26.42,494
1274313600,25.82,25.96,25.41,25.41,862
1274400000,25.03,25.83,24.97,25.78,945
1274659200,25.66,25.85,25.45,25.46,341
1274745600,24.82,25.47,24.67,25.47,576
1274832000,25.66,25.89,25.29,25.34,579
1274918400,25.85,26.21,25.75,26.21,733
1275004800,26.19,26.19,25.79,25.87,310
1275350400,25.61,26.01,25.4,25.42,462
1275436800,25.59,26.06,25.5,26.06,658
1275523200,26.18,26.25,25.95,26.21,436
1275609600,25.69,25.87,25.21,25.33,551
1275868800,25.35,25.45,24.93,24.96,518
1275955200,24.99,25.26,24.75,25.19,601
1276041600,25.37,25.6,25.0,25.11,371
1276128000,25.53,25.84,25.5,25.82,326
1276214400,25.61,25.97,25.59,25.97,330
1276473600,26.18,26.32,25.91,25.95,493
1276560000,26.13,26.53,26.08,26.52,362
1276646400,26.38,26.62,26.35,26.52,403
1276732800,26.61,26.61,26.31,26.55,481
1276819200,26.61,26.67,26.5,26.58,290
1277078400,26.82,26.82,26.25,26.39,573
1277164800,26.41,26.51,25.94,25.97,273
1277251200,25.95,26.05,25.7,25.86,378
1277337600,25.73,25.76,25.4,25.45,606
1277424000,25.5,25.68,25.29,25.57,451
1277683200,25.62,25.66,25.4,25.47,657
1277769600,25.14,25.14,24.55,24.69,834
1277856000,24.64,24.85,24.4,24.44,496
1277942400,24.45,24.52,23.97,24.34,563
1278028800,24.46,24.47,24.1,24.23,490
1278374400,24.53,24.73,24.14,24.34,750
1278460800,24.39,25.14,24.39,25.12,334
1278547200,25.34,25.41,25.1,25.35,406
1278633600,25.38,25.57,25.37,25.57,377
1278892800,25.5,25.62,25.39,25.57,325
1278979200,25.85,26.05,25.79,25.97,454
1279065600,25.9,26.07,25.79,25.98,424
1279152000,25.97,26.04,25.64,25.98,518
1279238400,25.82,25.85,25.21,25.26,394
1279497600,25.36,25.47,25.18,25.39,299
1279584000,25.08,25.7,25.05,25.68,434
1279670400,25.83,25.83,25.27,25.35,423
1279756800,25.67,26.01,25.66,25.93,282
1279843200,25.88,26.18,25.8,26.12,258
1280102400,26.21,26.46,26.13,26.46,352
1280188800,26.6,26.61,26.33,26.43,397
1280275200,26.36,26.43,26.17,26.23,403
1280361600,26.4,26.47,25.9,26.12,439
1280448000,25.86,26.24,25.8,26.15,413
1280707200,26.53,26.73,26.42,26.7,389
1280793600,26.62,26.68,26.48,26.55,352
1280880000,26.66,26.78,26.58,26.74,353
1280966400,26.59,26.74,26.56,26.72,646
1281052800,26.46,26.67,26.28,26.62,491
1281312000,26.76,26.81,26.62,26.78,922
1281398400,26.54,26.72,26.38,26.6,435
1281484800,26.19,26.19,25.85,25.88,556
1281571200,25.49,25.85,25.47,25.74,525
1281657600,25.66,25.79,25.63,25.64,343
1281916800,25.49,25.72,25.38,25.64,269
1282003200,25.87,26.14,25.8,25.97,302
1282089600,25.95,26.14,25.82,26.02,311
1282176000,25.89,25.92,25.47,25.58,407
1282262400,25.49,25.52,25.3,25.49,354
1282521600,25.62,25.71,25.37,25.37,244
1282608000,25.09,25.2,24.87,25.01,435
1282694400,24.85,25.18,24.7,25.09,525
1282780800,25.23,25.24,24.86,24.97,336
1282867200,25.09,25.34,24.73,25.32,358
1283126400,25.27,25.33,24.97,24.97,1070
1283212800,24.87,25.11,24.77,24.97,324
1283299200,25.31,25.72,25.28,25.71,524
1283385600,25.77,25.95,25.72,25.95,401
1283472000,26.22,26.31,26.06,26.28,418
1283817600,26.16,26.19,25.98,26.0,411
1283904000,26.05,26.26,26.05,26.13,334
1283990400,26.47,26.47,26.23,26.28,250
1284076800,26.35,26.45,26.29,26.41,284
1284336000,26.69,26.75,26.58,26.7,442
1284422400,26.65,26.84,26.56,26.7,312
1284508800,26.64,26.84,26.55,26.8,270
1284595200,26.73,26.82,26.64,26.8,215
1284681600,26.94,26.94,26.73,26.82,415
1284940800,26.77,27.11,26.7,27.07,438
