time,open,high,low,close,tick_volume
1252454400,99.91,100.24,98.76,98.98,206
1252540800,98.95,99.85,98.78,99.59,256
1252627200,100.89,101.15,100.17,100.6,245
1252886400,100.11,100.33,99.7,99.87,279
1252972800,99.68,101.02,99.51,100.77,325
1253059200,101.97,101.97,101.44,101.85,334
1253145600,101.58,102.0,101.07,101.4,276
1253232000,101.74,101.76,100.66,100.66,268
1253491200,99.93,100.5,99.7,100.32,157
1253577600,101.8,101.8,101.36,101.55,148
1253664000,101.09,101.84,100.61,100.75,177
1253750400,101.34,101.36,99.05,99.41,300
1253836800,99.0,99.35,98.67,98.95,249
1254096000,99.41,99.71,98.95,98.97,222
1254182400,99.08,99.59,98.9,99.29,122
1254268800,100.25,100.94,99.47,100.77,199
1254355200,100.78,100.78,99.79,99.84,126
1254441600,99.71,100.72,99.68,100.22,208
1254700800,100.42,101.75,100.3,101.69,175
1254787200,103.3,104.36,103.17,104.19,263
1254873600,104.27,104.46,103.8,104.34,244
1254960000,104.62,106.1,104.27,105.66,270
1255046400,105.05,105.21,104.46,104.85,337
1255305600,105.37,105.9,105.34,105.57,117
1255392000,105.75,106.48,105.48,106.23,215
1255478400,106.31,106.56,105.92,106.16,119
1255564800,105.27,105.93,104.57,104.84,165
1255651200,104.71,105.63,104.55,105.21,145
1255910400,105.19,106.26,104.85,106.25,152
1255996800,106.36,106.36,105.2,105.44,180
1256083200,105.38,106.41,105.34,105.73,120
1256169600,105.46,106.07,105.12,105.93,114
1256256000,106.54,106.56,105.0,105.47,177
1256515200,105.58,105.58,103.76,103.88,125
1256601600,103.7,103.95,103.5,103.85,69
1256688000,103.59,103.59,102.67,102.72,97
1256774400,103.75,104.73,103.51,104.68,152
1256860800,104.0,104.66,103.51,104.55,96
1257120000,105.53,106.28,105.37,105.96,119
1257206400,105.79,108.76,105.78,108.55,562
1257292800,109.23,109.7,108.65,109.16,424
1257379200,108.92,109.29,108.71,109.08,243
1257465600,109.5,110.04,109.17,109.7,246
1257724800,110.85,110.85,110.06,110.3,273
1257811200,110.16,110.88,109.83,110.52,350
1257897600,111.64,111.84,111.19,111.75,228
1257984000,111.3,111.65,110.24,110.38,591
1258070400,110.45,111.92,110.28,111.9,240
1258329600,112.88,114.33,112.84,113.85,480
1258416000,113.24,114.17,113.06,114.16,280
1258502400,114.91,115.26,114.07,114.49,250
1258588800,114.07,114.51,112.99,114.49,226
1258675200,113.96,115.1,113.75,115.06,261
1258934400,116.93,117.3,116.29,116.5,295
1259020800,116.98,117.03,116.17,116.98,255
1259107200,117.96,119.13,117.83,118.94,370
1259280000,115.34,118.03,115.27,117.35,488
1259539200,116.78,118.17,116.57,117.92,347
1259625600,119.63,120.12,119.14,119.71,426
1259712000,121.2,121.59,120.69,121.48,733
1259798400,120.99,121.86,120.46,121.1,995
1259884800,119.51,119.51,114.51,115.94,1443
1260144000,113.83,116.46,113.59,115.43,1264
1260230400,115.15,115.25,112.36,112.98,810
1260316800,113.7,114.65,111.52,112.98,1227
1260403200,112.92,113.21,112.17,113.04,1029
1260489600,112.76,112.95,110.88,111.44,815
1260748800,112.1,112.61,111.65,112.33,472
1260835200,112.12,112.68,111.53,112.35,478
1260921600,113.02,114.05,112.8,113.73,520
1261008000,111.6,112.03,109.41,109.48,818
1261094400,110.17,111.6,109.61,111.16,394
1261353600,111.38,111.4,108.91,109.02,480
1261440000,108.83,109.16,107.41,108.23,607
1261526400,108.74,109.46,108.39,108.64,539
1261612800,110.01,110.47,109.87,110.45,190
1261958400,110.79,110.87,110.08,110.72,380
1262044800,110.57,110.57,109.56,109.56,576
1262131200,108.7,109.53,108.53,109.06,417
1262217600,110.04,110.11,109.38,109.39,134
1262563200,112.02,112.25,111.48,111.93,374
1262649600,112.03,112.46,111.43,111.84,294
1262736000,112.83,113.94,112.63,113.72,933
1262822400,113.25,113.44,112.82,113.02,443
1262908800,113.69,113.72,112.45,113.53,466
1263168000,115.49,115.73,114.75,115.03,355
1263254400,114.59,115.19,112.45,112.62,448
1263340800,113.09,113.72,111.76,113.69,305
1263427200,113.68,114.47,112.96,114.21,279
1263513600,113.44,113.44,112.54,113.0,194
1263859200,113.14,113.88,112.98,113.77,156
1263945600,112.08,112.11,110.53,110.97,472
1264032000,110.56,110.82,108.7,109.41,623
1264118400,109.02,109.73,108.1,109.24,447
1264377600,109.46,109.77,109.16,109.55,249
1264464000,108.96,110.1,108.87,109.56,274
1264550400,109.62,109.79,108.23,108.64,376
1264636800,109.23,109.25,107.27,108.52,344
1264723200,107.9,108.3,107.32,108.03,485
1264982400,108.69,110.55,108.45,110.47,324
1265068800,111.28,111.67,110.79,111.25,223
1265155200,111.27,111.55,110.53,110.76,157
1265241600,108.88,108.88,105.77,106.4,643
1265328000,105.71,106.67,104.32,106.66,480
1265587200,106.43,107.1,106.02,106.11,284
1265673600,107.26,108.15,106.98,107.51,349
1265760000,107.19,107.48,106.17,107.13,394
1265846400,107.66,109.61,107.36,109.24,323
1265932800,108.16,109.18,107.63,109.07,325
1266278400,111.61,111.94,111.29,111.72,124
1266364800,111.83,112.14,110.97,111.35,252
1266451200,111.75,112.22,111.33,112.09,253
1266537600,110.6,112.43,110.6,111.58,196
1266796800,112.03,112.04,110.83,111.18,140
1266883200,110.97,110.98,109.77,109.99,192
1266969600,109.44,110.15,109.24,109.47,158
1267056000,108.74,110.71,108.74,110.4,269
1267142400,111.02,111.73,110.6,111.53,198
1267401600,111.62,111.99,111.11,111.56,260
1267488000,112.03,113.6,112.02,113.18,316
1267574400,113.65,114.3,113.38,113.81,246
1267660800,113.42,113.51,112.47,113.02,246
1267747200,113.31,113.87,112.97,112.97,153
1268006400,113.4,113.4,111.7,111.99,180
1268092800,111.28,112.24,111.19,111.83,193
1268179200,112.08,112.46,110.19,110.57,228
1268265600,110.28,110.76,110.0,110.71,161
1268352000,110.65,110.86,109.59,110.09,302
1268611200,110.47,110.52,109.94,110.45,63
1268697600,112.34,112.68,112.04,112.53,131
