time,open,high,low,close,tick_volume,spread
1600819200,5960.4,5969.7,5845.9,5853.4,24901,9
1600905600,5864.9,5894.9,5803.4,5833.1,43091,9
1600992000,5843.1,5881.2,5769.5,5878.0,36168,9
1601251200,5885.7,5955.7,5873.8,5941.7,33327,9
1601337600,5948.9,5961.9,5860.4,5895.1,22874,9
1601424000,5899.8,5932.8,5847.0,5864.0,42078,2
1601510400,5863.7,5925.7,5846.7,5878.7,38790,4
1601596800,5868.6,5917.3,5794.0,5897.6,46012,9
1601856000,5921.4,5977.0,5917.0,5964.5,28103,1
1601942400,5956.7,5971.7,5900.9,5908.7,35691,9
1602028800,5909.1,5976.2,5884.9,5949.9,32212,9
1602115200,5951.5,6002.9,5927.4,5995.7,28925,9
1602201600,6011.7,6040.2,5988.7,6005.2,25970,9
1602460800,6006.4,6037.4,5990.7,6020.4,29321,1
1602547200,6018.6,6027.2,5949.7,5969.2,35108,9
1602633600,5977.2,6010.9,5902.4,5904.9,33209,9
1602720000,5911.0,5930.3,5781.4,5863.1,47905,9
1602806400,5856.0,5934.0,5853.0,5916.0,33598,9
1603065600,5918.5,5960.7,5844.5,5851.7,37385,9
1603152000,5871.5,5920.5,5853.0,5890.0,25871,9
1603238400,5888.0,5920.0,5759.2,5761.7,48151,9
1603324800,5768.6,5809.6,5713.6,5802.3,49399,9
1603411200,5800.7,5885.4,5781.2,5870.2,33032,9
1603670400,5854.9,5867.7,5755.2,5792.4,53214,8
1603756800,5795.0,5813.3,5693.0,5694.3,54277,9
1603843200,5697.9,5715.2,5522.4,5551.2,82142,9
1603929600,5546.2,5630.7,5530.7,5586.9,74566,4
1604016000,5589.7,5608.4,5486.6,5602.4,78259,1
1604275200,5528.9,5671.4,5491.1,5662.9,62887,7
1604361600,5671.3,5808.7,5665.3,5785.9,57402,9
1604448000,5828.8,5901.9,5658.0,5851.9,73337,9
1604534400,5856.0,5933.1,5835.0,5895.9,67626,9
1604620800,5882.2,5950.8,5856.4,5907.7,52721,0
1604880000,5952.2,6261.0,5950.9,6155.5,74274,2
1604966400,6181.8,6315.1,6104.6,6280.1,82721,2
1605052800,6291.5,6401.5,6261.5,6374.2,43080,2
1605139200,6357.6,6371.1,6268.1,6285.3,36918,2
1605225600,6283.6,6353.2,6259.6,6346.7,42307,2
1605484800,6375.6,6466.0,6332.0,6425.2,38842,4
1605571200,6420.9,6426.2,6310.3,6360.2,29213,4
1605657600,6355.8,6396.3,6316.7,6316.7,27787,6
1605744000,6328.7,6371.8,6294.0,6369.8,34614,5
1605830400,6327.6,6393.8,6315.5,6350.8,29398,4
1606089600,6354.9,6392.4,6321.3,6353.3,38983,5
1606176000,6370.1,6453.3,6354.2,6448.8,27654,4
1606262400,6450.4,6483.8,6372.4,6390.3,33570,4
1606348800,6387.4,6412.8,6340.3,6345.8,20003,4
1606435200,6335.9,6418.4,6300.8,6414.4,21443,4
1606694400,6419.6,6419.6,6246.5,6247.5,32890,4
1606780800,6248.6,6399.0,6247.1,6391.5,29468,3
1606867200,6377.4,6469.0,6351.0,6444.5,24173,4
1606953600,6439.0,6511.2,6429.2,6484.7,20483,4
1607040000,6481.8,6568.7,6475.3,6561.7,19992,4
1607299200,6570.3,6601.7,6519.7,6529.7,21090,4
1607385600,6522.5,6577.2,6513.5,6573.6,20739,4
1607472000,6569.2,6627.1,6541.7,6580.6,25151,4
1607558400,6572.5,6643.5,6561.8,6602.4,30043,2
1607644800,6605.5,6614.9,6522.5,6571.4,32413,2
1607904000,6576.5,6595.9,6505.6,6509.1,31376,2
1607990400,6516.8,6564.9,6487.9,6554.1,23308,3
1608076800,6547.7,6605.1,6522.9,6580.4,24425,3
1608163200,6575.0,6609.7,6552.3,6562.7,20274,2
1608249600,6558.8,6613.2,6514.3,6515.3,24537,2
1608508800,6466.1,6483.2,6318.0,6430.1,52483,2
1608595200,6427.9,6469.9,6374.4,6460.8,30421,2
1608681600,6459.9,6528.8,6416.3,6507.8,30313,4
