time,open,high,low,close,tick_volume,spread
1600862400,5960.4,5969.7,5944.7,5949.7,2407,9
1600876800,5949.4,5953.2,5884.4,5905.2,14691,9
1600891200,5905.4,5906.4,5845.9,5853.4,7803,9
1600905600,5864.9,5866.4,5825.4,5866.4,2077,11
1600920000,5866.4,5870.9,5830.4,5831.4,953,23
1600934400,5830.9,5877.9,5820.9,5858.4,11358,9
1600948800,5858.6,5894.9,5843.1,5848.4,11116,9
1600963200,5848.6,5850.9,5803.4,5844.1,12454,9
1600977600,5844.4,5864.9,5818.6,5833.1,5133,9
1600992000,5843.1,5871.5,5841.6,5870.5,1239,11
1601006400,5870.8,5877.5,5853.0,5865.0,958,23
1601020800,5865.0,5868.5,5814.2,5839.2,6122,9
1601035200,5837.7,5843.2,5769.5,5805.5,11430,9
1601049600,5805.7,5848.5,5798.7,5848.2,13265,9
1601064000,5847.7,5881.2,5846.5,5878.0,3154,9
1601251200,5885.7,5889.2,5875.5,5875.5,1032,11
1601265600,5876.0,5909.0,5873.8,5905.5,1042,23
1601280000,5906.0,5943.0,5901.2,5909.7,9582,9
1601294400,5910.0,5953.5,5905.7,5945.2,7975,9
1601308800,5945.0,5955.7,5921.0,5935.5,10790,9
1601323200,5935.0,5943.0,5928.0,5941.7,2906,9
1601337600,5948.9,5960.3,5945.9,5952.2,765,11
1601352000,5951.9,5957.9,5937.4,5957.9,842,23
1601366400,5957.9,5961.9,5860.4,5876.9,6269,9
1601380800,5876.4,5913.9,5872.9,5906.9,5936,9
1601395200,5906.6,5923.9,5884.4,5895.1,5999,9
1601409600,5895.4,5907.4,5885.4,5895.1,3063,9
1601424000,5899.8,5910.2,5893.3,5899.1,1148,11
1601438400,5897.8,5932.8,5861.8,5876.8,1704,23
1601452800,5874.3,5932.5,5851.5,5898.0,11613,2
1601467200,5897.8,5908.3,5869.0,5902.3,8550,9
1601481600,5902.3,5921.0,5855.3,5883.8,12734,9
1601496000,5884.0,5891.0,5847.0,5864.0,6329,9
1601510400,5863.7,5877.5,5856.7,5867.7,1332,11
1601524800,5867.7,5900.0,5867.7,5886.7,1199,23
1601539200,5886.2,5924.7,5879.7,5895.7,10056,4
1601553600,5896.2,5925.7,5865.9,5870.2,9370,9
1601568000,5869.9,5891.9,5846.7,5871.9,12420,9
1601582400,5871.7,5882.2,5853.2,5878.7,4413,9
1601596800,5868.6,5900.6,5842.1,5861.1,1449,16
1601611200,5861.1,5877.1,5838.4,5841.6,1386,23
1601625600,5841.6,5854.1,5794.0,5842.3,13308,9
1601640000,5842.1,5849.8,5815.1,5824.6,7743,9
1601654400,5824.1,5917.3,5816.6,5910.8,16266,9
1601668800,5911.1,5917.3,5892.6,5897.6,5860,9
1601856000,5921.4,5947.3,5919.3,5944.3,1055,11
1601870400,5946.3,5947.6,5929.8,5945.3,791,23
1601884800,5945.3,5977.0,5917.0,5930.5,10048,9
1601899200,5930.8,5959.3,5925.3,5944.5,6072,9
1601913600,5944.3,5953.8,5925.8,5941.8,7806,9
1601928000,5941.5,5965.0,5934.5,5964.5,2331,1
1601942400,5956.7,5958.2,5934.7,5947.7,1630,11
1601956800,5947.7,5963.2,5943.0,5957.2,704,23
1601971200,5957.2,5958.7,5901.7,5910.7,8153,9
1601985600,5910.2,5967.7,5905.2,5967.2,7864,9
1602000000,5967.7,5971.7,5933.7,5961.2,10133,9
1602014400,5960.7,5971.7,5900.9,5908.7,7207,9
1602028800,5909.1,5923.7,5884.9,5920.2,1973,11
1602043200,5919.5,5944.7,5912.2,5933.7,1849,23
1602057600,5933.7,5976.2,5928.2,5944.4,8774,9
1602072000,5944.7,5972.2,5935.7,5955.9,6338,9
1602086400,5955.7,5965.9,5934.4,5938.9,10242,9
1602100800,5938.7,5959.4,5936.4,5949.9,3036,9
1602115200,5951.5,5960.1,5947.0,5951.0,1129,11
1602129600,5950.7,5965.2,5945.7,5951.7,1048,23
1602144000,5951.7,5971.4,5927.4,5942.2,8013,9
1602158400,5941.7,5986.2,5932.4,5985.2,6964,9
1602172800,5985.7,6002.9,5972.2,5984.4,9492,9
1602187200,5985.2,5997.9,5981.2,5995.7,2279,9
1602201600,6011.7,6016.0,5994.2,5996.2,941,11
1602216000,5996.7,6004.7,5991.2,6000.2,858,23
1602230400,6000.2,6017.9,5988.7,6006.7,7397,9
1602244800,6006.2,6038.7,5999.9,6038.7,6116,9
1602259200,6038.4,6040.2,6010.2,6020.4,8082,9
1602273600,6020.4,6022.2,6001.2,6005.2,2576,9
1602460800,6006.4,6008.0,5993.0,5996.7,1227,23
1602475200,5995.7,6022.7,5990.7,6020.7,1081,23
1602489600,6020.7,6037.4,5993.2,6003.7,9849,9
1602504000,6003.4,6031.7,6002.7,6017.4,7509,1
1602518400,6017.7,6023.4,5997.9,6017.9,6758,3
1602532800,6018.2,6023.2,6013.2,6020.4,2897,9
1602547200,6018.6,6025.1,6005.2,6011.7,1127,11
1602561600,6011.7,6018.2,6003.7,6017.0,834,23
1602576000,6017.7,6027.2,5958.7,5982.7,8311,9
1602590400,5982.2,6005.9,5972.9,5978.7,8284,9
1602604800,5978.9,5981.4,5949.7,5978.2,11342,9
1602619200,5978.4,5987.7,5962.4,5969.2,5210,9
1602633600,5977.2,5985.6,5972.7,5977.7,832,11
1602648000,5978.0,5992.2,5969.2,5984.2,803,23
1602662400,5984.2,6010.9,5978.2,6002.2,8864,9
1602676800,6001.9,6003.7,5930.7,5943.9,9233,9
1602691200,5944.2,5956.2,5906.2,5915.4,9219,9
1602705600,5915.2,5919.7,5902.4,5904.9,4258,9
1602720000,5911.0,5930.3,5894.0,5914.9,1632,11
1602734400,5912.9,5922.9,5893.9,5903.9,869,23
1602748800,5904.4,5910.2,5786.9,5791.9,15148,9
1602763200,5791.6,5830.1,5781.4,5791.6,12878,9
1602777600,5791.6,5845.9,5787.4,5835.4,13866,9
1602792000,5835.4,5871.6,5833.9,5863.1,3512,9
1602806400,5856.0,5878.0,5853.0,5873.5,1233,11
1602820800,5873.8,5888.0,5854.5,5859.0,2091,23
1602835200,5859.5,5914.5,5857.7,5892.5,8134,9
1602849600,5892.7,5917.0,5860.5,5909.5,11549,9
1602864000,5909.2,5934.0,5899.7,5919.5,8071,9
1602878400,5919.2,5925.5,5908.0,5916.0,2520,9
1603065600,5918.5,5931.0,5914.0,5925.0,975,11
1603080000,5925.0,5938.5,5901.5,5914.5,1136,23
1603094400,5914.3,5960.7,5912.8,5925.0,9017,9
1603108800,5924.2,5929.0,5878.5,5884.0,7204,9
1603123200,5885.2,5906.0,5869.0,5889.0,14391,9
1603137600,5888.5,5889.7,5844.5,5851.7,4662,9
1603152000,5871.5,5888.0,5868.0,5876.8,1246,23
1603166400,5876.8,5879.0,5855.5,5859.5,1390,23
1603180800,5859.5,5910.7,5853.0,5894.7,5396,9
1603195200,5894.7,5912.5,5879.5,5910.5,6486,9
1603209600,5910.5,5918.5,5886.5,5904.5,7687,9
1603224000,5905.0,5920.5,5885.5,5890.0,3666,9
1603238400,5888.0,5911.2,5883.5,5890.5,1489,11
1603252800,5890.5,5913.8,5888.0,5911.5,1329,23
1603267200,5911.5,5920.0,5793.7,5795.0,13691,9
1603281600,5795.2,5834.2,5791.5,5804.5,12442,9
1603296000,5804.7,5816.2,5759.7,5761.5,14130,9
1603310400,5761.7,5785.0,5759.2,5761.7,5070,9
1603324800,5768.6,5769.3,5725.8,5751.6,1635,11
1603339200,5752.6,5753.9,5738.1,5738.1,1253,23
1603353600,5738.6,5768.3,5713.6,5756.1,14395,9
1603368000,5755.8,5790.1,5743.1,5760.1,14066,9
1603382400,5760.3,5795.6,5758.6,5790.1,14852,9
1603396800,5790.3,5809.6,5790.3,5802.3,3198,9
1603411200,5800.7,5803.7,5783.2,5791.7,1388,11
1603425600,5791.7,5799.5,5781.2,5799.0,1282,23
1603440000,5799.0,5855.2,5781.4,5844.7,10349,9
1603454400,5844.9,5885.4,5843.7,5872.4,8166,9
1603468800,5872.4,5876.7,5840.9,5842.7,8762,9
1603483200,5842.9,5874.4,5842.9,5870.2,3085,9
1603670400,5854.9,5865.9,5825.7,5827.2,3000,11
1603684800,5827.0,5831.7,5814.0,5816.2,3965,23
1603699200,5816.2,5867.7,5775.9,5841.4,12844,9
1603713600,5841.7,5858.4,5823.9,5848.2,11590,9
1603728000,5847.9,5852.9,5755.2,5778.4,16039,8
1603742400,5778.4,5797.4,5776.2,5792.4,5776,9
1603756800,5795.0,5799.4,5778.5,5781.4,2358,11
1603771200,5781.7,5794.4,5772.9,5792.2,3756,23
1603785600,5792.4,5813.3,5754.5,5778.0,17739,9
1603800000,5778.3,5807.3,5760.0,5768.3,11889,9
1603814400,5768.0,5768.8,5717.3,5730.0,13350,9
1603828800,5730.0,5732.8,5693.0,5694.3,5185,9
1603843200,5697.9,5708.8,5685.6,5698.0,2103,11
1603857600,5697.7,5715.2,5689.0,5711.5,3288,23
1603872000,5711.2,5714.2,5577.2,5642.2,24079,9
1603886400,5642.4,5661.2,5581.4,5593.7,19705,9
1603900800,5593.7,5595.7,5522.4,5566.2,24589,9
1603915200,5566.2,5573.7,5529.7,5551.2,8378,9
1603929600,5546.2,5589.1,5540.7,5577.0,3598,11
1603944000,5576.7,5581.5,5564.2,5577.2,4683,23
1603958400,5577.2,5609.2,5546.2,5600.2,17396,9
1603972800,5599.9,5601.2,5530.7,5568.4,19863,9
1603987200,5568.7,5616.2,5565.7,5605.7,20848,8
1604001600,5605.4,5630.7,5577.9,5586.9,8178,4
1604016000,5589.7,5598.2,5564.9,5580.4,3651,23
1604030400,5580.7,5593.9,5526.2,5529.2,8040,23
1604044800,5528.9,5587.1,5486.6,5564.6,19139,9
