time,open,high,low,close,tick_volume,spread
1657108800,11747.4,11793.5,11699.0,11779.0,16561,200
1657123200,11778.5,11853.0,11723.3,11791.8,41088,100
1657137600,11790.8,11943.3,11761.8,11873.1,32456,100
1657152000,11875.4,11880.4,11830.8,11852.4,8794,200
1657166400,11852.5,11884.3,11805.2,11883.3,17617,200
1657180800,11883.5,11930.2,11862.8,11902.4,19492,200
1657195200,11898.8,11917.4,11858.3,11897.0,18210,200
1657209600,11897.3,12077.4,11880.9,12072.2,35320,100
1657224000,12072.4,12138.2,12049.5,12090.2,22878,100
1657238400,12085.6,12092.6,12062.3,12089.1,8941,200
1657252800,12089.2,12099.7,12035.2,12064.6,18700,200
1657267200,12064.1,12083.8,12031.1,12044.7,17544,200
1657281600,12045.0,12094.0,11922.1,11980.7,20837,200
1657296000,11981.8,12180.6,11948.8,12029.2,38020,100
1657310400,12030.2,12159.6,12009.5,12123.2,24140,100
1657497600,12103.1,12106.6,12063.4,12087.5,11017,200
1657512000,12087.6,12087.6,11994.8,12006.6,18163,200
1657526400,12006.4,12044.8,11967.3,12027.3,19946,200
1657540800,12026.7,12053.8,12006.6,12038.0,16018,200
1657555200,12037.6,12045.0,11822.8,11902.9,36614,100
1657569600,11903.3,11977.8,11831.8,11872.3,25419,100
1657584000,11870.9,11881.4,11782.0,11786.4,9623,200
1657598400,11787.6,11807.1,11761.4,11779.7,17399,200
1657612800,11779.6,11797.8,11733.0,11790.8,20427,200
1657627200,11790.5,11898.0,11769.1,11880.4,20665,200
1657641600,11880.5,11998.3,11779.5,11883.4,41314,100
1657656000,11883.8,11910.7,11681.9,11746.8,29140,100
1657670400,11753.8,11772.1,11730.6,11766.1,10017,200
1657684800,11765.9,11787.8,11743.8,11775.1,15966,200
1657699200,11775.3,11812.1,11739.6,11803.1,19392,200
1657713600,11803.3,11935.7,11450.1,11531.3,20819,200
1657728000,11530.3,11803.3,11493.2,11789.6,44805,100
1657742400,11789.3,11823.5,11695.9,11700.6,33505,100
1657756800,11691.9,11701.5,11631.6,11662.7,11370,200
1657771200,11663.0,11731.6,11657.8,11717.5,16872,200
1657785600,11717.2,11728.4,11569.7,11597.9,23412,200
1657800000,11598.4,11653.7,11579.9,11625.3,25513,200
1657814400,11624.5,11689.3,11480.4,11623.9,41793,100
1657828800,11624.7,11804.4,11603.6,11774.6,31180,100
1657843200,11784.2,11836.7,11778.4,11782.4,10609,200
1657857600,11782.7,11828.1,11772.4,11807.9,16756,200
1657872000,11808.1,11821.1,11733.1,11801.4,21826,200
