time,open,high,low,close,tick_volume
1283990400,51.25,51.25,50.57,50.66,160
1284076800,50.84,50.93,50.65,50.89,49
1284336000,51.48,51.57,51.25,51.53,152
1284422400,51.42,51.74,51.19,51.52,347
1284508800,51.31,51.69,51.2,51.65,84
1284595200,51.51,51.66,51.35,51.63,412
1284681600,51.94,51.94,51.51,51.68,343
1284940800,51.87,52.52,51.73,52.52,128
1285027200,52.51,52.72,52.14,52.36,153
1285113600,52.28,52.52,51.98,52.08,89
1285200000,51.66,52.17,51.56,51.65,181
1285286400,51.97,52.45,51.93,52.42,146
1285545600,52.47,52.49,52.17,52.17,128
1285632000,52.16,52.51,51.71,52.51,314
1285718400,52.29,52.46,52.11,52.26,140
1285804800,52.6,52.84,51.98,52.18,267
1285891200,52.54,52.58,52.08,52.36,123
1286150400,52.63,52.63,51.75,51.92,242
1286236800,52.51,53.1,52.41,53.06,118
1286323200,53.06,53.14,52.81,52.97,220
1286409600,53.25,53.25,52.66,52.94,226
1286496000,53.01,53.37,52.83,53.34,219
1286755200,53.36,53.42,53.14,53.25,95
1286841600,53.19,53.62,52.87,53.56,208
1286928000,53.79,54.14,53.62,53.88,311
1287014400,53.85,53.91,53.4,53.68,149
1287100800,54.02,54.04,53.36,53.78,438
1287360000,53.81,54.22,53.72,54.17,260
1287446400,53.57,53.84,53.01,53.31,194
1287532800,53.47,54.08,53.47,53.88,126
1287619200,54.13,54.38,53.66,53.96,154
1287705600,54.08,54.1,53.97,54.09,96
1287964800,54.51,54.64,54.23,54.25,136
1288051200,53.96,54.28,53.94,54.18,86
1288137600,53.87,54.11,53.61,54.07,104
1288224000,54.38,54.41,53.88,54.14,95
1288310400,54.05,54.21,54.0,54.16,71
1288569600,54.54,54.62,53.88,54.17,165
1288656000,54.43,54.71,54.43,54.6,77
1288742400,54.6,54.8,54.16,54.76,98
1288828800,55.55,55.9,55.51,55.85,162
1288915200,56.13,56.15,55.85,56.09,94
1289174400,55.94,56.04,55.75,56.0,182
1289260800,56.09,56.15,55.4,55.56,142
1289347200,55.58,55.8,55.16,55.8,147
1289433600,55.34,55.64,55.21,55.59,114
1289520000,55.2,55.43,54.69,54.91,224
1289779200,55.15,55.26,54.82,54.82,400
1289865600,54.51,54.51,53.74,54.0,192
1289952000,54.03,54.23,53.89,54.0,184
1290038400,54.54,54.96,54.54,54.81,151
1290124800,54.75,54.97,54.52,54.97,85
1290384000,54.71,54.9,54.29,54.88,141
1290470400,54.28,54.32,53.96,54.14,457
1290556800,54.47,54.89,54.47,54.83,124
1290729600,54.48,54.7,54.41,54.52,87
1290988800,54.18,54.58,53.83,54.47,196
1291075200,53.98,54.43,53.91,54.17,170
1291161600,54.96,55.37,54.94,55.31,135
1291248000,55.37,56.05,55.37,56.03,347
1291334400,55.81,56.23,55.81,56.17,284
1291593600,56.08,56.21,56.0,56.1,235
1291680000,56.68,56.69,56.1,56.12,509
1291766400,56.2,56.37,55.98,56.35,156
1291852800,56.67,56.67,56.33,56.56,169
1291939200,56.74,56.94,56.61,56.9,247
1292198400,57.16,57.22,56.91,56.93,321
1292284800,57.06,57.18,56.83,56.96,242
1292371200,56.87,57.1,56.62,56.71,184
1292457600,56.78,57.08,56.56,57.04,238
1292544000,57.0,57.17,56.91,57.12,208
1292803200,57.29,57.37,56.98,57.24,234
1292889600,57.43,57.65,57.39,57.59,364
1292976000,57.67,57.8,57.62,57.8,345
1293062400,57.72,57.76,57.58,57.7,266
1293408000,57.23,57.51,57.2,57.49,235
1293494400,57.61,57.61,57.4,57.55,177
1293580800,57.66,57.72,57.6,57.6,226
1293667200,57.56,57.63,57.44,57.51,306
1293753600,57.43,57.56,57.34,57.51,336
1294012800,57.97,58.33,57.95,58.11,444
