time,open,high,low,close,tick_volume,spread
1063152000,98.15,98.25,97.01,97.14,191,0
1063238400,97.63,98.13,97.25,97.8,148,0
1063324800,97.55,98.12,96.75,97.89,130,0
1063584000,98.14,98.14,97.56,97.64,106,0
1063670400,97.99,99.05,97.99,99.0,125,0
1063756800,98.95,99.17,98.51,98.75,138,0
1063843200,98.94,99.93,98.7,99.93,161,0
1063929600,99.8,99.94,99.37,99.72,134,0
1064188800,98.9,98.9,98.09,98.5,200,0
1064275200,98.72,99.19,98.39,99.05,139,0
1064361600,99.2,99.22,97.25,97.33,200,0
1064448000,97.65,97.78,96.52,96.64,178,0
1064534400,96.55,96.55,95.8,95.86,174,0
1064793600,95.71,96.43,95.27,96.08,161,0
1064880000,95.94,96.1,94.84,95.5,136,0
1064966400,96.04,97.53,95.83,97.41,127,0
1065052800,97.54,97.93,97.24,97.83,110,0
1065139200,99.45,99.65,98.6,98.86,195,0
1065398400,99.06,99.49,98.73,99.35,136,0
1065484800,99.15,99.82,98.61,99.8,149,0
1065571200,99.99,99.99,99.1,99.42,117,0
1065657600,100.15,100.79,99.61,99.68,179,0
1065744000,99.93,100.06,99.53,99.84,140,0
1066003200,100.49,100.95,100.28,100.58,163,0
1066089600,100.59,101.0,100.12,101.0,148,0
1066176000,101.54,101.54,100.39,100.7,184,0
1066262400,100.6,101.32,100.41,101.06,118,0
1066348800,101.14,101.17,99.66,99.97,134,0
1066608000,100.14,100.35,99.67,100.35,120,0
1066694400,100.39,100.84,100.16,100.49,97,0
1066780800,99.79,99.8,98.79,99.18,248,0
1066867200,98.51,99.51,98.51,99.35,164,0
1066953600,98.55,98.92,97.95,98.79,160,0
1067212800,99.25,99.78,99.06,99.18,126,0
1067299200,99.6,100.67,99.6,100.67,158,0
1067385600,100.59,101.17,100.41,101.02,145,0
1067472000,101.64,101.65,100.75,100.9,204,0
1067558400,101.39,101.49,101.09,101.28,112,0
1067817600,101.79,102.35,101.52,102.1,209,0
1067904000,101.99,102.16,101.58,101.6,144,0
1067990400,101.64,101.87,100.96,101.66,126,0
1068076800,101.69,102.4,101.25,102.29,132,0
1068163200,102.65,102.78,101.79,101.89,231,0
1068422400,101.99,102.0,101.13,101.24,176,0
1068508800,102.97,102.97,100.74,101.06,125,0
1068595200,101.25,102.4,101.24,102.27,119,0
1068681600,102.15,102.53,101.9,102.46,128,0
1068768000,102.54,102.94,101.45,101.55,155,0
1069027200,100.9,101.07,100.03,100.84,242,0
1069113600,101.18,101.4,100.0,100.03,184,0
1069200000,102.0,102.0,99.88,100.7,139,0
1069286400,100.33,101.17,99.83,99.83,171,0
1069372800,100.3,100.38,99.75,100.02,137,0
1069632000,100.95,101.75,100.9,101.75,140,0
1069718400,101.89,102.53,101.67,102.24,156,0
1069804800,102.59,102.62,101.7,102.56,174,0
1069977600,102.4,102.9,102.4,102.8,59,0
1070236800,103.3,104.09,103.16,103.8,220,0
1070323200,103.7,104.07,103.48,103.59,184,0
1070409600,104.14,104.25,103.25,103.25,212,0
1070496000,103.41,103.61,102.8,103.61,174,0
1070582400,103.35,103.42,102.6,102.78,210,0
1070841600,102.79,103.5,102.6,103.34,140,0
1070928000,103.79,103.79,102.41,102.49,150,0
1071014400,102.57,102.73,101.68,102.2,194,0
1071100800,102.44,103.79,102.37,103.57,150,0
1071187200,103.8,103.92,103.1,103.9,154,0
1071446400,104.84,104.85,103.1,103.12,296,0
1071532800,103.33,103.79,102.9,103.65,155,0
1071619200,103.74,103.87,103.25,103.85,124,0
1071705600,104.09,105.1,103.9,104.94,177,0
1071792000,105.2,105.22,104.6,105.05,199,0
1072051200,104.36,104.98,104.36,104.87,175,0
1072137600,105.04,105.46,104.97,105.4,172,0
1072224000,105.15,105.41,105.01,105.18,95,0
1072396800,105.44,105.65,105.3,105.3,85,0
1072656000,105.95,106.84,105.75,106.6,211,0
1072742400,106.56,106.9,106.5,106.76,171,0
1072828800,106.99,107.16,106.45,106.74,223,0
1073001600,107.39,107.56,106.26,106.54,295,0
1073260800,107.39,107.86,107.12,107.86,315,0
1073347200,107.78,108.21,107.51,108.09,212,0
1073433600,108.05,108.36,107.5,108.33,190,0
1073520000,108.85,108.87,108.35,108.79,260,0
1073606400,108.47,109.0,108.03,108.26,255,0
1073865600,108.44,108.74,108.0,108.6,219,0
1073952000,108.99,108.99,107.58,108.22,267,0
1074038400,108.59,109.11,108.37,109.0,196,0
1074124800,109.45,109.74,108.49,109.28,205,0
1074211200,109.58,110.02,109.43,109.95,226,0
1074556800,110.35,110.4,109.68,110.0,234,0
1074643200,110.09,110.99,109.65,110.67,232,0
1074729600,111.34,111.42,110.37,110.49,224,0
1074816000,110.83,111.21,110.0,110.37,240,0
1075075200,110.53,111.68,110.34,111.68,226,0
1075161600,111.69,111.69,110.61,110.7,249,0
1075248000,110.84,111.04,108.77,109.17,260,0
1075334400,109.45,109.51,108.29,109.29,282,0
1075420800,109.29,109.43,108.8,109.21,203,0
1075680000,109.4,110.21,108.76,109.44,173,0
1075766400,109.3,109.69,109.05,109.37,121,0
