time,open,high,low,close,tick_volume
1075420800,49.46,49.46,49.34,49.45,24
1075680000,49.62,49.95,49.44,49.5,15
1075766400,49.62,49.71,49.61,49.66,10
1075852800,49.45,49.5,49.2,49.33,10
1075939200,49.36,49.45,49.15,49.38,12
1076025600,49.35,49.95,49.35,49.95,11
1076284800,49.95,50.01,49.88,49.88,6
1076371200,49.85,50.12,49.85,50.09,7
1076457600,50.08,50.66,49.99,50.64,21
1076544000,50.56,50.61,50.4,50.42,22
1076630400,50.55,50.61,50.1,50.13,12
1076976000,50.57,50.65,50.51,50.65,7
1077062400,50.65,50.65,50.4,50.47,15
1077148800,50.75,50.75,50.5,50.5,7
1077235200,50.0,50.04,49.88,50.04,6
1077494400,50.2,50.2,49.75,49.82,14
1077580800,49.84,50.02,49.71,49.83,7
1077667200,49.9,49.99,49.83,49.99,7
1077753600,49.88,50.08,49.88,50.08,3
1077840000,50.2,50.33,50.18,50.18,6
1078099200,50.39,50.66,50.34,50.66,8
1078185600,50.65,50.65,50.39,50.49,5
1078272000,50.17,50.33,50.17,50.33,3
1078358400,50.5,50.63,50.45,50.59,6
1078444800,50.4,50.92,50.4,50.8,12
1078704000,50.79,50.79,50.43,50.43,10
1078790400,50.15,50.15,50.0,50.07,8
1078876800,50.05,50.05,49.3,49.36,12
1078963200,49.33,49.35,48.75,48.79,8
1079049600,48.86,49.11,48.79,49.0,10
1079308800,49.05,49.05,48.43,48.45,14
1079395200,48.8,48.8,48.45,48.47,14
1079481600,49.07,49.39,49.07,49.39,15
1079568000,49.15,49.21,48.86,49.21,12
1079654400,49.21,49.21,48.75,48.75,10
1079913600,48.4,48.4,47.74,48.08,15
1080000000,48.16,48.25,47.95,48.18,5
1080086400,47.8,48.01,47.8,48.0,6
1080172800,48.1,48.61,48.08,48.54,13
1080259200,48.6,48.75,48.6,48.67,6
1080518400,48.9,49.07,48.78,48.97,19
1080604800,49.09,49.1,48.98,49.1,9
1080691200,49.17,49.42,49.17,49.42,14
1080777600,49.45,49.64,49.45,49.47,7
1080864000,49.95,50.1,49.79,49.86,17
1081123200,50.05,50.22,49.91,50.22,13
1081209600,50.0,50.18,49.98,50.16,19
1081296000,49.85,49.91,49.81,49.89,9
1081382400,49.89,50.05,49.77,49.86,10
1081728000,50.1,50.1,50.01,50.01,5
1081814400,50.3,50.3,49.3,49.4,14
1081900800,49.18,49.49,49.01,49.01,7
1081987200,49.44,49.5,49.22,49.22,4
1082073600,49.45,49.59,49.39,49.57,6
1082332800,49.5,49.61,49.33,49.61,8
1082419200,49.76,49.76,49.07,49.07,10
1082505600,48.86,49.13,48.86,49.13,4
1082592000,49.17,49.93,49.17,49.88,11
1082678400,49.9,49.9,49.58,49.88,9
1082937600,49.95,50.02,49.51,49.56,11
1083024000,49.8,50.07,49.78,49.78,12
1083110400,49.44,49.46,49.16,49.16,14
1083196800,49.16,49.29,48.45,48.45,13
1083283200,48.82,48.82,48.46,48.46,7
1083542400,48.64,48.89,48.64,48.72,12
1083628800,48.9,48.97,48.9,48.97,2
1083715200,49.08,49.12,49.06,49.07,5
1083801600,48.95,48.95,48.49,48.51,9
1083888000,48.77,48.83,48.12,48.22,10
1084147200,47.54,47.62,47.25,47.26,23
1084233600,47.65,47.86,47.62,47.8,19
1084320000,47.75,47.92,47.06,47.92,25
1084406400,47.85,48.1,47.77,47.89,13
1084492800,47.76,48.06,47.71,47.87,6
1084752000,47.48,47.56,47.32,47.32,9
1084838400,47.65,47.8,47.65,47.78,11
1084924800,48.13,48.28,47.8,47.8,16
1085011200,47.68,47.72,47.64,47.68,8
1085097600,48.01,48.04,47.98,47.98,3
1085356800,48.1,48.1,47.73,47.92,12
1085443200,47.77,48.66,47.76,48.66,20
