time,open,high,low,close,tick_volume,spread
1086912000,384.0,384.8,382.8,384.1,303,0
1087171200,384.3,385.8,381.8,382.8,1954,0
1087257600,382.8,388.8,381.1,388.6,1995,0
1087344000,387.1,389.8,382.6,383.8,2106,0
1087430400,383.6,389.3,383.0,387.6,1638,0
1087516800,388.6,395.8,385.8,394.3,2323,0
1087776000,394.3,396.8,392.1,393.1,1759,0
1087862400,392.8,396.3,392.3,394.1,1515,0
1087948800,394.0,396.6,392.3,395.6,1889,0
1088035200,394.0,402.8,393.1,401.1,2077,0
1088121600,402.0,402.8,400.1,401.1,1681,0
1088380800,401.8,404.6,398.8,399.8,2196,0
1088467200,399.8,400.5,390.3,391.3,2234,0
1088553600,391.5,396.3,391.1,393.3,2199,0
1088640000,391.6,395.8,391.5,395.0,1796,0
1088726400,395.1,399.8,391.3,397.8,1583,0
1089072000,397.8,398.8,388.5,392.1,1109,0
1089158400,394.1,403.1,394.1,401.8,883,0
1089244800,401.8,408.6,399.3,407.3,984,0
1089331200,407.3,407.8,405.0,407.1,857,0
1089590400,407.3,408.3,405.0,406.6,974,0
1089676800,407.1,407.3,399.6,403.1,1656,0
1089763200,400.8,405.8,400.8,404.8,1090,0
1089849600,404.3,405.1,400.8,403.1,1950,0
1089936000,403.1,407.1,401.8,406.1,988,0
1090195200,405.5,407.5,403.8,404.8,925,0
1090281600,405.0,406.3,398.6,400.8,1812,0
1090368000,399.3,401.6,393.8,396.1,1974,0
1090454400,396.0,397.8,392.8,393.3,1968,0
1090540800,394.3,395.0,386.5,389.3,1964,0
1090800000,389.3,392.1,388.1,389.8,2050,0
1090886400,390.5,393.1,385.1,386.6,3118,0
1090972800,386.1,389.6,384.5,387.3,3281,0
1091059200,387.3,390.8,385.3,387.1,2610,0
1091145600,387.1,391.8,386.3,390.5,2866,0
1091404800,390.3,393.8,390.3,391.1,2014,0
1091491200,391.3,394.3,388.1,393.1,3280,0
1091577600,393.8,393.8,389.6,391.8,3123,0
1091664000,391.3,393.0,389.8,391.8,1953,0
1091750400,391.8,400.3,390.8,398.8,1952,0
1092009600,399.1,400.3,397.1,399.8,1508,0
1092096000,399.6,400.6,397.3,399.1,1490,0
1092182400,398.1,399.1,392.3,394.6,1671,0
1092268800,395.1,397.3,392.8,393.3,1894,0
1092355200,393.5,399.1,391.8,398.1,2880,0
1092614400,398.3,403.1,397.6,401.3,1629,0
1092700800,402.1,404.8,399.6,404.8,1191,0
1092787200,403.8,404.8,401.1,403.8,809,0
1092873600,403.8,407.5,403.1,406.1,1636,0
1092960000,406.1,413.8,404.6,412.2,2157,0
1093219200,411.8,411.8,407.8,409.3,2405,0
1093305600,409.6,409.6,401.6,401.6,2808,0
1093392000,401.8,407.6,401.6,406.8,3589,0
