time,open,high,low,close,tick_volume,spread
1086926400,384.0,384.3,383.3,383.8,47,0
1086940800,383.8,384.3,382.8,383.6,170,0
1086955200,383.5,384.6,383.3,384.6,57,0
1086969600,384.3,384.8,383.8,384.1,29,0
1087171200,384.3,384.5,382.3,382.6,135,0
1087185600,382.6,383.3,382.3,382.6,144,0
1087200000,382.6,383.8,381.8,382.5,174,0
1087214400,382.3,385.8,382.3,384.6,658,0
1087228800,384.3,384.8,382.5,383.3,758,0
1087243200,383.1,383.3,382.6,382.8,85,0
1087257600,382.8,383.8,382.3,382.5,123,0
1087272000,382.3,383.1,382.0,382.8,154,0
1087286400,382.8,383.3,381.1,382.0,159,0
1087300800,382.3,385.6,381.3,385.3,376,0
1087315200,386.3,388.6,384.6,387.1,1111,0
1087329600,387.6,388.8,387.1,388.6,72,0
1087344000,387.1,389.8,387.1,388.5,96,0
1087358400,388.6,389.1,387.8,388.6,143,0
1087372800,388.1,389.0,386.6,387.3,215,0
1087387200,386.6,387.3,383.8,384.6,506,0
1087401600,384.1,385.1,382.6,383.8,1028,0
1087416000,383.6,384.6,383.6,383.8,118,0
1087430400,383.6,384.6,383.0,383.1,113,0
1087444800,383.1,384.3,383.0,384.3,144,0
1087459200,384.0,385.8,384.0,385.3,223,0
1087473600,385.8,387.6,385.6,386.6,615,0
1087488000,385.8,388.8,384.3,388.3,456,0
1087502400,388.3,389.3,387.3,387.6,87,0
1087516800,388.6,388.6,387.1,387.6,93,0
1087531200,387.3,388.1,385.8,386.3,160,0
1087545600,386.6,389.1,385.8,388.8,244,0
1087560000,388.6,395.5,388.6,395.1,905,0
1087574400,394.6,395.8,394.1,394.6,905,0
1087588800,394.3,394.6,394.3,394.3,16,0
1087776000,394.3,394.8,392.8,394.1,92,0
1087790400,393.5,394.1,393.1,393.6,84,0
1087804800,393.3,393.8,392.3,393.6,67,0
1087819200,393.3,396.8,393.3,395.0,413,0
1087833600,395.1,395.3,392.1,393.1,951,0
1087848000,393.6,393.6,392.8,393.1,152,0
1087862400,392.8,394.6,392.8,393.3,79,0
1087876800,394.0,394.5,392.8,393.0,73,0
1087891200,392.8,394.3,392.3,393.6,198,0
1087905600,393.6,395.6,393.0,395.3,317,0
1087920000,395.5,396.3,393.8,394.1,694,0
1087934400,394.0,394.8,393.8,394.1,154,0
1087948800,394.0,394.8,393.6,394.6,107,0
1087963200,394.5,395.8,394.3,395.3,158,0
1087977600,395.5,396.6,393.8,394.0,208,0
1087992000,394.8,395.8,393.6,394.3,508,0
1088006400,394.3,394.8,392.3,394.1,785,0
1088020800,394.3,395.8,394.0,395.6,123,0
1088035200,394.0,394.6,393.1,393.6,90,0
1088049600,393.6,394.3,393.6,393.8,149,0
1088064000,394.6,397.8,393.6,396.6,222,0
1088078400,397.0,401.8,395.3,400.1,785,0
1088092800,400.1,402.8,398.8,402.1,753,0
1088107200,401.8,402.8,401.1,401.1,78,0
1088121600,402.0,402.1,400.1,401.5,121,0
1088136000,401.5,402.1,400.6,401.6,166,0
1088150400,401.8,402.1,400.5,400.6,123,0
1088164800,400.6,402.8,400.1,400.6,671,0
1088179200,400.6,402.3,400.6,401.8,533,0
1088193600,401.8,402.6,400.6,401.1,67,0
1088380800,401.8,402.3,401.5,401.8,57,0
1088395200,401.5,402.3,400.8,401.0,155,0
1088409600,401.1,402.3,400.6,401.5,179,0
1088424000,401.6,404.6,401.5,403.5,648,0
1088438400,404.1,404.1,398.8,399.8,1001,0
1088452800,399.8,400.8,399.8,399.8,156,0
1088467200,399.8,400.5,399.1,399.5,84,0
1088481600,399.1,399.6,398.8,399.3,97,0
1088496000,398.8,399.1,395.3,395.3,215,0
1088510400,395.3,397.8,395.3,396.3,669,0
1088524800,395.8,396.3,390.3,391.8,1102,0
