symbol,engine,setup,side,entry_time,exit_time,risk_percent,r_multiple,trade_id,risk_dollars,guard_reason,guard_multiplier,is_recovery_probe,equity_at_entry,open_risk_before_entry,open_risk_after_entry
GBPUSD,GBPUSD_V10_PRECISION,GBPUSD_SWING_V5_PULLBACK_ADDON,-1,2013-02-13 12:00:00+00:00,2013-02-19 20:00:00+00:00,0.4,2.5,1,20.0,strong_or_audusd_protected,1.0,False,5000.0,0.0,0.4
GBPUSD,GBPUSD_SWING_RETEST,H4_BREAKOUT_RETEST,-1,2013-02-13 20:00:00+00:00,2013-02-21 00:00:00+00:00,0.15,4.0,2,7.5,strong_or_audusd_protected,1.0,False,5000.0,0.4,0.55
AUDUSD,AUDUSD_TREND_PULLBACK,D1_H4_EMA_PULLBACK_04_08UTC,-1,2013-02-25 04:00:00+00:00,2013-02-25 16:00:00+00:00,0.25,-1.0000000000000073,3,12.7,strong_or_audusd_protected,1.0,False,5080.0,0.0,0.25
GBPUSD,GBPUSD_SWING_RETEST,H4_BREAKOUT_RETEST,-1,2013-02-25 16:00:00+00:00,2013-02-26 00:00:00+00:00,0.15,-1.0000000000000002,4,7.60095,strong_or_audusd_protected,1.0,False,5067.3,0.0,0.15
AUDUSD,AUDUSD_TREND_PULLBACK,D1_H4_EMA_PULLBACK_04_08UTC,-1,2013-02-26 08:00:00+00:00,2013-02-27 12:00:00+00:00,0.25,2.0,5,12.649247625000001,strong_or_audusd_protected,1.0,False,5059.69905,0.0,0.25
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2013-03-06 20:00:00+00:00,2013-03-08 08:00:00+00:00,0.25,3.0,6,12.712493863125001,warmup,1.0,False,5084.99754525,0.0,0.25
GBPJPY,GBPJPY_SWING_CORE,H4_DONCHIAN_BREAKOUT,1,2013-03-08 04:00:00+00:00,2013-03-08 20:00:00+00:00,0.15,0.0,7,7.627496317875,strong_or_audusd_protected,1.0,False,5084.99754525,0.25,0.4
GBPUSD,GBPUSD_SWING_RETEST,H4_BREAKOUT_RETEST,-1,2013-03-08 08:00:00+00:00,2013-03-13 08:00:00+00:00,0.15,0.5603992392219155,8,7.684702540259062,strong_or_audusd_protected,1.0,False,5123.135026839375,0.15,0.3
GBPJPY,GBPJPY_SWING_CORE,H4_DONCHIAN_BREAKOUT,1,2013-03-08 12:00:00+00:00,2013-03-08 20:00:00+00:00,0.15,-0.999999999999985,9,7.684702540259062,strong_or_audusd_protected,1.0,False,5123.135026839375,0.3,0.44999999999999996
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2013-03-08 12:00:00+00:00,2013-03-08 20:00:00+00:00,0.25,0.0,10,12.807837567098439,warmup,1.0,False,5123.135026839375,0.44999999999999996,0.7
GBPUSD,GBPUSD_V10_PRECISION,SECONDARY_12UTC_BREAKOUT,-1,2013-03-11 12:00:00+00:00,2013-03-13 12:00:00+00:00,0.4,-1.0000000000000129,11,20.46180129719647,strong_or_audusd_protected,1.0,False,5115.450324299117,0.15,0.55
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2013-03-12 00:00:00+00:00,2013-03-12 12:00:00+00:00,0.25,-0.9999999999999929,12,12.788625810747792,warmup,1.0,False,5115.450324299117,0.55,0.8
