symbol,engine,setup,side,entry_time,exit_time,risk_percent,r_multiple
GBPUSD,GBPUSD_V10_PRECISION,GBPUSD_SWING_V5_PULLBACK_ADDON,-1,2013-02-13 12:00:00+00:00,2013-02-19 20:00:00+00:00,0.4,2.5
GBPUSD,GBPUSD_SWING_RETEST,H4_BREAKOUT_RETEST,-1,2013-02-13 20:00:00+00:00,2013-02-21 00:00:00+00:00,0.15,4.0
AUDUSD,AUDUSD_TREND_PULLBACK,D1_H4_EMA_PULLBACK_04_08UTC,-1,2013-02-25 04:00:00+00:00,2013-02-25 16:00:00+00:00,0.25,-1.0000000000000073
GBPUSD,GBPUSD_SWING_RETEST,H4_BREAKOUT_RETEST,-1,2013-02-25 16:00:00+00:00,2013-02-26 00:00:00+00:00,0.15,-1.0000000000000002
AUDUSD,AUDUSD_TREND_PULLBACK,D1_H4_EMA_PULLBACK_04_08UTC,-1,2013-02-26 08:00:00+00:00,2013-02-27 12:00:00+00:00,0.25,2.0
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2013-03-06 20:00:00+00:00,2013-03-08 08:00:00+00:00,0.25,3.0
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2013-03-07 00:00:00+00:00,2013-03-08 12:00:00+00:00,0.25,3.0
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2013-03-07 12:00:00+00:00,2013-03-08 12:00:00+00:00,0.25,3.0
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2013-03-07 16:00:00+00:00,2013-03-08 16:00:00+00:00,0.25,3.0
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2013-03-07 20:00:00+00:00,2013-03-08 16:00:00+00:00,0.25,3.0
GBPJPY,GBPJPY_SWING_CORE,H4_DONCHIAN_BREAKOUT,1,2013-03-08 04:00:00+00:00,2013-03-08 20:00:00+00:00,0.15,0.0
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2013-03-08 04:00:00+00:00,2013-03-12 12:00:00+00:00,0.25,1.0534102569756287
GBPUSD,GBPUSD_SWING_RETEST,H4_BREAKOUT_RETEST,-1,2013-03-08 08:00:00+00:00,2013-03-13 08:00:00+00:00,0.15,0.5603992392219155
GBPJPY,GBPJPY_SWING_CORE,H4_DONCHIAN_BREAKOUT,1,2013-03-08 12:00:00+00:00,2013-03-08 20:00:00+00:00,0.15,-0.999999999999985
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2013-03-08 12:00:00+00:00,2013-03-08 20:00:00+00:00,0.25,0.0
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2013-03-08 16:00:00+00:00,2013-03-08 20:00:00+00:00,0.25,-0.9999999999999879
GBPUSD,GBPUSD_V10_PRECISION,SECONDARY_12UTC_BREAKOUT,-1,2013-03-11 12:00:00+00:00,2013-03-13 12:00:00+00:00,0.4,-1.0000000000000129
