entry_time,exit_time,r,direction,symbol,setup,priority
2023-01-02 07:50:00,2023-01-02 08:25:00,-1.0,1,GBPJPY,breakout_60_fade,3.2
2023-01-02 09:45:00,2023-01-02 10:30:00,0.772959436331496,-1,GBPJPY,sweep_reclaim_15,2.0
2023-01-02 10:03:00,2023-01-02 10:48:00,-0.1293867552084079,-1,GBPUSD,sweep_reclaim_15,2.0
2023-01-02 11:18:00,2023-01-02 12:02:00,1.0002008824549098,-1,GBPUSD,sweep_reclaim_15,2.0
2023-01-02 11:21:00,2023-01-02 12:05:00,1.25,-1,GBPJPY,sweep_reclaim_15,2.0
2023-01-02 12:25:00,2023-01-02 13:09:00,-0.8124092739610227,-1,GBPJPY,sweep_reclaim_15,2.0
2023-01-02 14:33:00,2023-01-02 15:17:00,-0.7200000000002911,-1,GBPUSD,sweep_reclaim_30,1.0
2023-01-02 15:20:00,2023-01-02 15:44:00,-1.0,1,GBPJPY,breakout_60_fade,3.2
2023-01-02 15:39:00,2023-01-02 16:23:00,-0.0800000000001455,-1,GBPUSD,sweep_reclaim_60,0.0
2023-01-02 16:52:00,2023-01-02 17:36:00,0.640000000000291,-1,GBPUSD,sweep_reclaim_15,2.0
2023-01-02 17:59:00,2023-01-02 18:23:00,-0.6400000000007277,1,GBPUSD,breakout_60_fade,3.2
2023-01-03 08:32:00,2023-01-03 09:16:00,-1.0,-1,GBPJPY,sweep_reclaim_15,2.0
2023-01-03 09:27:00,2023-01-03 09:51:00,1.2,-1,GBPUSD,breakout_30_fade,4.2
2023-01-03 09:58:00,2023-01-03 10:22:00,-1.0,1,GBPJPY,breakout_60_fade,3.2
2023-01-03 10:31:00,2023-01-03 10:55:00,-1.0,1,GBPUSD,breakout_60_fade,3.2
2023-01-03 10:59:00,2023-01-03 11:23:00,-1.0,1,GBPJPY,breakout_60_fade,3.2
2023-01-03 14:56:00,2023-01-03 15:40:00,1.25,1,GBPJPY,sweep_reclaim_15,2.0
2023-01-03 16:01:00,2023-01-03 16:45:00,1.25,1,GBPUSD,sweep_reclaim_15,2.0
2023-01-03 17:01:00,2023-01-03 17:45:00,-1.0,1,GBPUSD,sweep_reclaim_15,2.0
2023-01-03 17:17:00,2023-01-03 17:41:00,-1.0,-1,GBPJPY,breakout_60_fade,3.2
2023-01-04 07:04:00,2023-01-04 07:28:00,1.2,-1,GBPUSD,breakout_60_fade,3.2
2023-01-04 07:08:00,2023-01-04 07:52:00,-1.0,1,GBPJPY,sweep_reclaim_15,2.0
2023-01-04 08:14:00,2023-01-04 08:38:00,1.2,-1,GBPUSD,breakout_30_fade,4.2
2023-01-04 08:29:00,2023-01-04 09:13:00,0.1913381208050492,-1,GBPJPY,sweep_reclaim_15,2.0
2023-01-04 09:14:00,2023-01-04 09:38:00,-1.0,-1,GBPUSD,breakout_60_fade,3.2
2023-01-04 09:41:00,2023-01-04 10:05:00,1.2,1,GBPJPY,breakout_30_fade,4.2
2023-01-04 10:14:00,2023-01-04 10:38:00,-1.0,-1,GBPUSD,breakout_60_fade,3.2
2023-01-04 11:33:00,2023-01-04 11:57:00,1.2,-1,GBPJPY,breakout_60_fade,3.2
2023-01-04 14:12:00,2023-01-04 14:36:00,-1.0,-1,GBPJPY,breakout_60_fade,3.2
2023-01-04 15:28:00,2023-01-04 15:52:00,-1.0,-1,GBPUSD,breakout_15_fade,5.2
2023-01-04 16:22:00,2023-01-04 17:06:00,1.25,1,GBPJPY,sweep_reclaim_15,2.0
2023-01-04 17:31:00,2023-01-04 17:55:00,-1.0,-1,GBPJPY,breakout_60_fade,3.2
2023-01-05 07:18:00,2023-01-05 07:42:00,-1.0,-1,GBPJPY,breakout_60_fade,3.2
2023-01-05 08:46:00,2023-01-05 09:10:00,-1.0,1,GBPUSD,breakout_30_fade,4.2
2023-01-05 09:46:00,2023-01-05 10:10:00,-1.0,1,GBPUSD,breakout_60_fade,3.2
2023-01-05 09:54:00,2023-01-05 10:18:00,1.2,1,GBPJPY,breakout_60_fade,3.2
2023-01-05 12:14:00,2023-01-05 12:38:00,1.2,-1,GBPJPY,breakout_60_fade,3.2
2023-01-05 12:34:00,2023-01-05 12:58:00,1.160000000000582,1,GBPUSD,breakout_15_fade,5.2
2023-01-05 13:48:00,2023-01-05 14:32:00,-1.0,-1,GBPJPY,sweep_reclaim_30,1.0
2023-01-05 14:03:00,2023-01-05 14:27:00,1.2,1,GBPUSD,breakout_15_fade,5.2
2023-01-05 14:54:00,2023-01-05 15:38:00,0.6278055768384789,1,GBPJPY,sweep_reclaim_30,1.0
2023-01-05 15:16:00,2023-01-05 15:40:00,-1.0,1,GBPUSD,breakout_60_fade,3.2
