symbol,engine,setup,side,entry_time,exit_time,risk_percent,r_multiple,original_risk_percent,v12_quality_tier,pre_satellite_risk_percent,satellite_v12_tier
AUDUSD,AUDUSD_TREND_PULLBACK,D1_H4_EMA_PULLBACK_04_08UTC,1,2011-06-01 04:00:00+00:00,2011-06-01 20:00:00+00:00,0.025,-0.9999999999999926,0.25,AUDUSD_04UTC_MICRO,0.05,AUDUSD_OTHER_MICRO
AUDUSD,AUDUSD_TREND_PULLBACK,D1_H4_EMA_PULLBACK_04_08UTC,1,2011-06-03 04:00:00+00:00,2011-06-03 16:00:00+00:00,0.025,-0.9999999999999931,0.25,AUDUSD_04UTC_MICRO,0.05,AUDUSD_OTHER_MICRO
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,-1,2011-06-03 16:00:00+00:00,2011-06-09 08:00:00+00:00,0.15,-0.0,0.25,USDJPY_00_16_20UTC_FULL,0.25,USDJPY_V12_OBSERVATION
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,-1,2011-06-08 04:00:00+00:00,2011-06-09 08:00:00+00:00,0.05,-0.9999999999999839,0.25,USDJPY_OTHER_HOUR_MICRO,0.05,USDJPY_V12_OBSERVATION
GBPUSD,GBPUSD_V10_PRECISION,SECONDARY_12UTC_BREAKOUT,-1,2011-06-16 12:00:00+00:00,2011-06-20 16:00:00+00:00,0.4,-1.0,0.4,UNCHANGED,0.4,UNCHANGED
GBPUSD,GBPUSD_SWING_RETEST,H4_BREAKOUT_RETEST,-1,2011-06-17 08:00:00+00:00,2011-06-17 20:00:00+00:00,0.15,-0.9999999999999961,0.15,UNCHANGED,0.15,UNCHANGED
GBPUSD,GBPUSD_V10_PRECISION,PRIMARY_16UTC_BREAKOUT,-1,2011-06-23 16:00:00+00:00,2011-06-24 04:00:00+00:00,0.2,-0.9999999999999877,0.2,UNCHANGED,0.2,UNCHANGED
GBPUSD,GBPUSD_SWING_RETEST,H4_BREAKOUT_RETEST,-1,2011-06-25 00:00:00+00:00,2011-06-28 20:00:00+00:00,0.15,-1.0000000000000033,0.15,UNCHANGED,0.15,UNCHANGED
AUDUSD,AUDUSD_TREND_PULLBACK,D1_H4_EMA_PULLBACK_04_08UTC,1,2011-07-06 04:00:00+00:00,2011-07-06 16:00:00+00:00,0.025,-0.9999999999999848,0.25,AUDUSD_04UTC_MICRO,0.05,AUDUSD_OTHER_MICRO
AUDUSD,AUDUSD_TREND_PULLBACK,D1_H4_EMA_PULLBACK_04_08UTC,1,2011-07-06 08:00:00+00:00,2011-07-06 16:00:00+00:00,0.55,-1.0000000000000147,0.25,AUDUSD_08UTC_FULL,0.35,AUDUSD_08UTC_SATELLITE
