trade_id,engine_group,engine,symbol,setup,side,entry_time,exit_time,risk_percent,risk_dollars,r_multiple,pre_equity,pre_drawdown_percent,pre_open_risk_total,pre_ict_open_risk,admission_reason,pnl,equity_before_exit,equity_after_exit,drawdown_after_exit
1,V12,GBPUSD_V10_PRECISION,GBPUSD,GBPUSD_SWING_V5_PULLBACK_ADDON,SELL,2013-02-13 12:00:00+00:00,2013-02-19 20:00:00+00:00,0.4,20.0,2.5,5000.0,0.0,0.0,0.0,v12_master_admitted,50.0,5000.0,5050.0,0.0
2,V12,GBPUSD_SWING_RETEST,GBPUSD,H4_BREAKOUT_RETEST,SELL,2013-02-13 20:00:00+00:00,2013-02-21 00:00:00+00:00,0.15,7.5,4.0,5000.0,0.0,0.4,0.0,v12_master_admitted,30.0,5050.0,5080.0,0.0
3,V12,AUDUSD_TREND_PULLBACK,AUDUSD,D1_H4_EMA_PULLBACK_04_08UTC,SELL,2013-02-25 04:00:00+00:00,2013-02-25 16:00:00+00:00,0.25,12.7,-1.000000000000007,5080.0,0.0,0.0,0.0,v12_master_admitted,-12.70000000000009,5080.0,5067.3,0.2499999999999964
4,V12,GBPUSD_SWING_RETEST,GBPUSD,H4_BREAKOUT_RETEST,SELL,2013-02-25 16:00:00+00:00,2013-02-26 00:00:00+00:00,0.15,7.60095,-1.0000000000000002,5067.3,0.2499999999999964,0.0,0.0,v12_master_admitted,-7.600950000000002,5067.3,5059.69905,0.3996249999999967
5,V12,AUDUSD_TREND_PULLBACK,AUDUSD,D1_H4_EMA_PULLBACK_04_08UTC,SELL,2013-02-26 08:00:00+00:00,2013-02-27 12:00:00+00:00,0.25,12.649247625000001,2.0,5059.69905,0.3996249999999967,0.0,0.0,v12_master_admitted,25.298495250000002,5059.69905,5084.99754525,0.0
6,V12,USDJPY_SAFE_HAVEN_BREAKOUT,USDJPY,D1_H4_40BAR_BREAKOUT,BUY,2013-03-06 20:00:00+00:00,2013-03-08 08:00:00+00:00,0.25,12.712493863125001,3.0,5084.99754525,0.0,0.0,0.0,v12_master_admitted,38.137481589375,5084.99754525,5123.135026839375,0.0
7,V12,GBPJPY_SWING_CORE,GBPJPY,H4_DONCHIAN_BREAKOUT,BUY,2013-03-08 04:00:00+00:00,2013-03-08 20:00:00+00:00,0.15,7.627496317875,0.0,5084.99754525,0.0,0.25,0.0,v12_master_admitted,0.0,5123.135026839375,5123.135026839375,0.0
9,V12,GBPJPY_SWING_CORE,GBPJPY,H4_DONCHIAN_BREAKOUT,BUY,2013-03-08 12:00:00+00:00,2013-03-08 20:00:00+00:00,0.15,7.684702540259062,-0.999999999999985,5123.135026839375,0.0,0.3,0.0,v12_master_admitted,-7.684702540258947,5123.135026839375,5115.450324299117,0.14999999999998928
10,V12,USDJPY_SAFE_HAVEN_BREAKOUT,USDJPY,D1_H4_40BAR_BREAKOUT,BUY,2013-03-08 12:00:00+00:00,2013-03-08 20:00:00+00:00,0.25,12.807837567098439,0.0,5123.135026839375,0.0,0.44999999999999996,0.0,v12_master_admitted,0.0,5115.450324299117,5115.450324299117,0.14999999999998928
12,V12,USDJPY_SAFE_HAVEN_BREAKOUT,USDJPY,D1_H4_40BAR_BREAKOUT,BUY,2013-03-12 00:00:00+00:00,2013-03-12 12:00:00+00:00,0.25,12.788625810747792,-0.9999999999999928,5115.450324299117,0.14999999999998928,0.55,0.0,v12_master_admitted,-12.7886258107477,5115.450324299117,5102.661698488369,0.3996249999999809
