time,event,equity,balance,peak,drawdown_percent,open_risk_percent,trade_id,engine_group,engine,symbol,risk_percent,admission_reason,pnl
2013-02-13T12:00:00+00:00,START,5000.0,5000.0,5000.0,0.0,0.0,,,,,,,
2013-02-13T12:00:00+00:00,ENTRY,5000.0,5000.0,5000.0,0.0,0.4,1.0,V12,GBPUSD_V10_PRECISION,GBPUSD,0.4,v12_master_admitted,
2013-02-13T20:00:00+00:00,ENTRY,5000.0,5000.0,5000.0,0.0,0.55,2.0,V12,GBPUSD_SWING_RETEST,GBPUSD,0.15,v12_master_admitted,
2013-02-19T20:00:00+00:00,EXIT,5050.0,5050.0,5050.0,0.0,0.15,1.0,V12,GBPUSD_V10_PRECISION,GBPUSD,,,50.0
2013-02-21T00:00:00+00:00,EXIT,5080.0,5080.0,5080.0,0.0,0.0,2.0,V12,GBPUSD_SWING_RETEST,GBPUSD,,,30.0
2013-02-25T04:00:00+00:00,ENTRY,5080.0,5080.0,5080.0,0.0,0.25,3.0,V12,AUDUSD_TREND_PULLBACK,AUDUSD,0.25,v12_master_admitted,
2013-02-25T16:00:00+00:00,EXIT,5067.3,5067.3,5080.0,0.2499999999999964,0.0,3.0,V12,AUDUSD_TREND_PULLBACK,AUDUSD,,,-12.70000000000009
2013-02-25T16:00:00+00:00,ENTRY,5067.3,5067.3,5080.0,0.2499999999999964,0.15,4.0,V12,GBPUSD_SWING_RETEST,GBPUSD,0.15,v12_master_admitted,
2013-02-26T00:00:00+00:00,EXIT,5059.69905,5059.69905,5080.0,0.3996249999999967,0.0,4.0,V12,GBPUSD_SWING_RETEST,GBPUSD,,,-7.600950000000002
2013-02-26T08:00:00+00:00,ENTRY,5059.69905,5059.69905,5080.0,0.3996249999999967,0.25,5.0,V12,AUDUSD_TREND_PULLBACK,AUDUSD,0.25,v12_master_admitted,
2013-02-27T12:00:00+00:00,EXIT,5084.99754525,5084.99754525,5084.99754525,0.0,0.0,5.0,V12,AUDUSD_TREND_PULLBACK,AUDUSD,,,25.298495250000002
2013-03-06T20:00:00+00:00,ENTRY,5084.99754525,5084.99754525,5084.99754525,0.0,0.25,6.0,V12,USDJPY_SAFE_HAVEN_BREAKOUT,USDJPY,0.25,v12_master_admitted,
