engine,trade_id,symbol,side,entry_time,entry_price,exit_time,exit_price,stop_loss,take_profit,setup,risk_percent,position_size,risk_dollars,r_multiple,pnl,equity_before,equity_after,peak_before,peak_after,drawdown_before,drawdown_after,guard_reason,guard_multiplier,is_recovery_probe,exit_reason,engine_group
GBPUSD_V10_PRECISION,1,GBPUSD,SELL,2013-02-13 12:00:00+00:00,,2013-02-19 20:00:00+00:00,,,,GBPUSD_SWING_V5_PULLBACK_ADDON,0.4,,20.0,2.5,50.0,5000.0,5050.0,5000.0,5050.0,0.0,0.0,strong_or_audusd_protected,1.0,False,SIMULATED_R_MULTIPLE_CLOSE,V12
GBPUSD_SWING_RETEST,2,GBPUSD,SELL,2013-02-13 20:00:00+00:00,,2013-02-21 00:00:00+00:00,,,,H4_BREAKOUT_RETEST,0.15,,7.5,4.0,30.0,5050.0,5080.0,5050.0,5080.0,0.0,0.0,strong_or_audusd_protected,1.0,False,SIMULATED_R_MULTIPLE_CLOSE,V12
AUDUSD_TREND_PULLBACK,3,AUDUSD,SELL,2013-02-25 04:00:00+00:00,,2013-02-25 16:00:00+00:00,,,,D1_H4_EMA_PULLBACK_04_08UTC,0.25,,12.7,-1.000000000000007,-12.700000000000092,5080.0,5067.3,5080.0,5080.0,0.0,0.2499999999999964,strong_or_audusd_protected,1.0,False,SIMULATED_R_MULTIPLE_CLOSE,V12
GBPUSD_SWING_RETEST,4,GBPUSD,SELL,2013-02-25 16:00:00+00:00,,2013-02-26 00:00:00+00:00,,,,H4_BREAKOUT_RETEST,0.15,,7.60095,-1.0000000000000002,-7.600950000000002,5067.3,5059.69905,5080.0,5080.0,0.2499999999999964,0.3996249999999967,strong_or_audusd_protected,1.0,False,SIMULATED_R_MULTIPLE_CLOSE,V12
AUDUSD_TREND_PULLBACK,5,AUDUSD,SELL,2013-02-26 08:00:00+00:00,,2013-02-27 12:00:00+00:00,,,,D1_H4_EMA_PULLBACK_04_08UTC,0.25,,12.649247625,2.0,25.29849525,5059.69905,5084.99754525,5080.0,5084.99754525,0.3996249999999967,0.0,strong_or_audusd_protected,1.0,False,SIMULATED_R_MULTIPLE_CLOSE,V12
USDJPY_SAFE_HAVEN_BREAKOUT,6,USDJPY,BUY,2013-03-06 20:00:00+00:00,,2013-03-08 08:00:00+00:00,,,,D1_H4_40BAR_BREAKOUT,0.25,,12.712493863125,3.0,38.137481589375,5084.99754525,5123.135026839375,5084.99754525,5123.135026839375,0.0,0.0,warmup,1.0,False,SIMULATED_R_MULTIPLE_CLOSE,V12
GBPJPY_SWING_CORE,7,GBPJPY,BUY,2013-03-08 04:00:00+00:00,,2013-03-08 20:00:00+00:00,,,,H4_DONCHIAN_BREAKOUT,0.15,,7.627496317875,0.0,0.0,5123.135026839375,5123.135026839375,5123.135026839375,5123.135026839375,0.0,0.0,strong_or_audusd_protected,1.0,False,SIMULATED_R_MULTIPLE_CLOSE,V12
GBPUSD_SWING_RETEST,8,GBPUSD,SELL,2013-03-08 08:00:00+00:00,,2013-03-13 08:00:00+00:00,,,,H4_BREAKOUT_RETEST,0.15,,7.684702540259062,0.5603992392219155,4.3065014572079,5102.661698488369,5106.968199945577,5123.135026839375,5123.135026839375,0.3996249999999809,0.3155651141167002,strong_or_audusd_protected,1.0,False,SIMULATED_R_MULTIPLE_CLOSE,V12
GBPJPY_SWING_CORE,9,GBPJPY,BUY,2013-03-08 12:00:00+00:00,,2013-03-08 20:00:00+00:00,,,,H4_DONCHIAN_BREAKOUT,0.15,,7.684702540259062,-0.999999999999985,-7.684702540258947,5123.135026839375,5115.450324299117,5123.135026839375,5123.135026839375,0.0,0.1499999999999892,strong_or_audusd_protected,1.0,False,SIMULATED_R_MULTIPLE_CLOSE,V12
USDJPY_SAFE_HAVEN_BREAKOUT,10,USDJPY,BUY,2013-03-08 12:00:00+00:00,,2013-03-08 20:00:00+00:00,,,,D1_H4_40BAR_BREAKOUT,0.25,,12.80783756709844,0.0,0.0,5115.450324299117,5115.450324299117,5123.135026839375,5123.135026839375,0.1499999999999892,0.1499999999999892,warmup,1.0,False,SIMULATED_R_MULTIPLE_CLOSE,V12
