symbol,engine,setup,profile,side,entry_time,exit_time,r_multiple,session_high,session_low,signal_atr
USDJPY,USDJPY_ICT_SESSION_SWEEP,usdjpy_ict_session_sweep,uj_ny_relaxed,BUY,2012-12-07 15:00:00+00:00,2012-12-07 18:00:00+00:00,-1.0,82556.0,82380.0,113.98084725388728
USDJPY,USDJPY_ICT_SESSION_SWEEP,usdjpy_ict_session_sweep,uj_ny_relaxed,BUY,2013-01-11 14:00:00+00:00,2013-01-11 16:00:00+00:00,1.5,89339.0,88767.0,194.02597981758043
USDJPY,USDJPY_ICT_SESSION_SWEEP,usdjpy_ict_session_sweep,uj_ny_relaxed,BUY,2013-01-28 14:00:00+00:00,2013-01-28 16:00:00+00:00,-1.0,91248.0,90831.0,189.28316869864878
GBPUSD,GBPUSD_ICT_WIDE_SWEEP,gbpusd_ict_wide_sweep,gu_london_15,SELL,2013-02-15 11:00:00+00:00,2013-02-18 12:00:00+00:00,0.14624117996616465,155213.0,154843.0,222.87864761763396
GBPUSD,GBPUSD_ICT_WIDE_SWEEP,gbpusd_ict_wide_sweep,gu_london_20,SELL,2013-02-15 11:00:00+00:00,2013-02-18 18:00:00+00:00,0.2021728526699362,155213.0,154843.0,222.87864761763396
GBPUSD,GBPUSD_ICT_WIDE_SWEEP,gbpusd_ict_wide_sweep,gu_london_25,SELL,2013-02-15 11:00:00+00:00,2013-02-19 00:00:00+00:00,0.174962094758774,155213.0,154843.0,222.87864761763396
AUDUSD,AUDUSD_ICT_ASIA_LONDON,audusd_ict_asia_london,au_london_15,SELL,2013-02-18 09:00:00+00:00,2013-02-18 13:00:00+00:00,-1.0,103002.0,102742.0,132.9004603540638
AUDUSD,AUDUSD_ICT_ASIA_LONDON,audusd_ict_asia_london,au_london_20,SELL,2013-02-18 09:00:00+00:00,2013-02-18 13:00:00+00:00,-1.0,103002.0,102742.0,132.9004603540638
AUDUSD,AUDUSD_ICT_ASIA_LONDON,audusd_ict_asia_london,au_london_relaxed,SELL,2013-02-18 09:00:00+00:00,2013-02-18 13:00:00+00:00,-1.0,103002.0,102742.0,132.9004603540638
GBPUSD,GBPUSD_ICT_WIDE_SWEEP,gbpusd_ict_wide_sweep,gu_london_15,SELL,2013-02-19 09:00:00+00:00,2013-02-19 10:00:00+00:00,-1.0,154803.0,154599.0,135.37725831813236
GBPUSD,GBPUSD_ICT_WIDE_SWEEP,gbpusd_ict_wide_sweep,gu_london_20,SELL,2013-02-19 09:00:00+00:00,2013-02-19 10:00:00+00:00,-1.0,154803.0,154599.0,135.37725831813236
GBPUSD,GBPUSD_ICT_WIDE_SWEEP,gbpusd_ict_wide_sweep,gu_london_25,SELL,2013-02-19 09:00:00+00:00,2013-02-19 10:00:00+00:00,-1.0,154803.0,154599.0,135.37725831813236
USDJPY,USDJPY_ICT_SESSION_SWEEP,usdjpy_ict_session_sweep,uj_ny_20,BUY,2013-02-19 16:00:00+00:00,2013-02-19 20:00:00+00:00,-1.0,93943.0,93562.0,152.1040881069711
